protocol,direction,method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,log_loss,brier_score,auroc,pr_auc,average_precision,subject
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.62205116647497183,0.21509494942063193,1,1,1,7
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.83632150758706769,0.3108165104918848,0.5,0.79166666666666663,0.83333333333333326,8
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.33333333333333331,0.5,0,1,,0,1.0107011097137228,0.38225467128151919,0.5,0.79166666666666663,0.83333333333333326,9
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.33333333333333331,0.5,0,1,,0,0.97943594130830469,0.37526091332739092,0.5,0.79166666666666663,0.83333333333333326,10
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.33333333333333331,0.5,0,1,,0,12.849950690702011,0.66666664542367826,0.5,0.79166666666666663,0.83333333333333326,11
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.69323659999283482,0.2500119351263479,0,0.41666666666666663,0.58333333333333326,12
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.55078330083187754,0.18306271476845984,1,1,1,13
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.73202290078971499,0.26873450285446737,0.25,0.33333333333333331,0.5,1
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.91779137976002334,0.3410283029645701,0.25,0.33333333333333331,0.5,1
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.75129929433511966,0.26586982425263933,0.75,0.79166666666666663,0.83333333333333326,2
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.475355166365333,0.35623103585857391,0.75,0.79166666666666663,0.83333333333333326,2
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,0.5,1,1,0.66666666666666663,0.66279144301041626,0.23554828479471113,0.75,0.79166666666666663,0.83333333333333326,3
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.75,0.75,0.5,1,1,0.66666666666666663,0.74117209348704371,0.25563844144102416,0.75,0.79166666666666663,0.83333333333333326,3
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.3439549869369856,0.46903276448656761,0,0.29166666666666663,0.41666666666666663,4
