method,setting,subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,training_rows,training_subjects,gain,delta_cov,margin,selected_fusion,direction
cbsf_double_exclusion_gain,stroop_loso,6,0.6329790026403838,0.2584036045557696,0.4234187512144916,0.6472901592233,0.8118685643873405,0.06068654401699484,0.0,0.0,1.0,False,3.375530540203353,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,6,,,,,,,,,,,,,,-0.02083333333333337,1.6861744016881157,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,7,0.21429821098538843,0.3476247172615173,0.07967531159204871,0.6491756090483395,0.9635558346332095,0.7994594959556502,0.1593929003027295,0.1593929003027295,0.26818239461686033,False,1.316683920976414,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,7,,,,,,,,,,,,,,-0.02083333333333337,1.313015176337966,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,8,0.2357564609842444,0.3504407739375001,0.2299919854474361,0.681051641867106,0.9046705236243872,0.28265464059287393,0.007021868942480443,0.007021868942480443,0.38223132162368056,False,0.8886811131385589,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,8,,,,,,,,,,,,,,-0.02083333333333337,1.2798270536986338,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,9,0.26035302795791637,0.2690811446623375,0.25564015039972293,0.632198786263461,0.8923815410003129,0.75955915557708,0.09838350888741391,0.09838350888741391,0.794511005063229,False,1.4097575908335311,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,9,,,,,,,,,,,,,,0.0,1.611293825264057,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,10,0.21469077624737554,0.3269211053695672,0.1923257059738346,0.6494501494238193,0.9193270791526129,0.03156891091672273,-0.03294336657225258,-0.03294336657225258,0.6180039025617453,False,0.8713084306677299,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,10,,,,,,,,,,,,,,-0.04166666666666663,1.0459887880720597,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,11,0.23758825822668778,0.2890035127625358,0.23346284076885637,0.6517478705070473,0.9197796824986856,0.44349633442252856,0.03040892572604982,0.03040892572604982,0.5208405086503691,False,0.31678882083377724,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,11,,,,,,,,,,,,,,-0.04166666666666663,1.9585233455972775,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,12,0.15905113055893763,0.24646339210464285,0.38447669194145956,0.6669922745225768,0.8339360154380085,0.7000586364667467,0.06331260692750057,0.06331260692750057,0.48761995912015854,False,0.925580413688328,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,12,,,,,,,,,,,,,,0.02083333333333326,0.9299170218301644,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,13,0.35618113527353856,0.27432614578062314,0.0484834928170441,0.5711516693718222,0.9804980076565603,0.06068654401699484,0.0,0.019343865552840785,1.0,False,1.3737874695824883,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,13,,,,,,,,,,,,,,-0.02083333333333337,1.728726332875861,0.15,False,
cbsf_target_task_gain,cross_task,1,0.20788581004846707,0.2327810628846436,0.33442643610089445,0.6348086933165057,0.8573464115107798,0.001461208626163146,-0.08492530549356891,-0.08492530549356891,0.8229017410806772,False,0.5905448822373169,24.0,12.0,,,,,arithmetic_to_stroop
