feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,feature_shift_original,feature_shift_robust,outer_subject,meta_subject,seed,benefit
0.3252015296891903,0.2550445377260836,0.2380574304626104,0.6165618391252007,0.89707895827335,0.3737525343894958,0.3252015296891903,2,13,1388,-0.25
0.3252015296891903,0.2128116548037194,0.2924529446930441,0.6058373866441769,0.8609956361444416,0.3737525343894958,0.3252015296891903,2,13,1441,0.0
0.3252015296891903,0.2005176340101608,0.3523153441904614,0.6346601665105197,0.8258180348868978,0.3737525343894958,0.3252015296891903,2,13,1494,0.0
0.3252015296891903,0.2173108068581507,0.3142706108771936,0.632210446687748,0.8484614578841244,0.3737525343894958,0.3252015296891903,2,13,1547,0.25
0.3508291690655691,0.1316046548784787,0.1730065655341082,0.4506953252628657,0.944936603484069,0.441423237323761,0.3508291690655691,2,14,1335,0.0
0.3508291690655691,0.1573204563156496,0.0723805487335109,0.4415572231481041,0.977365783333073,0.441423237323761,0.3508291690655691,2,14,1388,0.0
0.3508291690655691,0.1392484477216765,0.1430957457838781,0.448050496617059,0.9552209353776138,0.441423237323761,0.3508291690655691,2,14,1441,0.0
0.3508291690655691,0.1604767522989891,0.1055456167027674,0.4557386074950573,0.971743385584867,0.441423237323761,0.3508291690655691,2,14,1494,0.0
0.3508291690655691,0.1417435831586142,0.1604304284514435,0.4281978499270389,0.9498049729674526,0.441423237323761,0.3508291690655691,2,14,1547,0.0
0.2773270836877749,0.2047966421353955,0.3695006360571274,0.6347885826383518,0.8280191237873137,0.3622030317783355,0.2773270836877749,2,15,1335,-0.25
0.2773270836877749,0.2162867401072349,0.3175303546917123,0.6290647134694244,0.8533610194767609,0.3622030317783355,0.2773270836877749,2,15,1388,0.0
0.2773270836877749,0.209718368539692,0.3294119658962142,0.6245286655358485,0.8625079894024821,0.3622030317783355,0.2773270836877749,2,15,1441,0.0
0.2773270836877749,0.1785963942660458,0.3973969660205467,0.6329169521416884,0.8090325712952474,0.3622030317783355,0.2773270836877749,2,15,1494,0.25
0.2773270836877749,0.1614468202887018,0.4365400206073262,0.6340760215506842,0.7767273447189397,0.3622030317783355,0.2773270836877749,2,15,1547,0.0
0.4847242314072388,0.230818445196581,0.4532329908457385,0.679468074330925,0.7859211521163286,0.6272551417350769,0.4847242314072388,3,1,1335,0.0
0.4847242314072388,0.2452394648291598,0.3458751969606665,0.6624631553412459,0.8395188117647975,0.6272551417350769,0.4847242314072388,3,1,1388,0.0
0.4847242314072388,0.2010370346617041,0.5059580491718776,0.6863463061685269,0.7417507369704488,0.6272551417350769,0.4847242314072388,3,1,1441,0.25
0.4847242314072388,0.2130570935185296,0.4421539669599472,0.675152722524166,0.7753576381648298,0.6272551417350769,0.4847242314072388,3,1,1494,0.0
0.4847242314072388,0.2003230949222586,0.467438329457263,0.67506904686193,0.7572947967837452,0.6272551417350769,0.4847242314072388,3,1,1547,0.25
0.2790409079354196,0.1855341473731874,0.3834794224326736,0.6330834954094681,0.8153943567947681,0.350604236125946,0.2790409079354196,3,2,1335,0.0
0.2790409079354196,0.1768358616055308,0.3784557930217677,0.6221793842765427,0.8105474260133693,0.350604236125946,0.2790409079354196,3,2,1388,0.0
