confidence_nn,covariance_shift,dasf_effective_margin,dasf_used_fusion_seed_diagnostic,direction,disagreement,entropy_fuse,entropy_nn,feature_shift,feature_shift_original,feature_shift_robust,inner_participants,inner_selected_epochs,outer_subject_excluded,protocol,seed,selected_epoch,subject,target_batch_recordings,validation_accuracy_fuse_meta_crossfit,validation_accuracy_nn,validation_gain
0.7206114954397346,0.08784970425276165,0.03756994085055233,False,stroop,0.19466869259233158,0.6858376358750246,0.5488329696685352,0.27531165939081526,0.3964802324771881,0.27531165939081526,14,1|1|31|7|20|2|8|11|7|1|1|4|1|3,True,loso,1547,3,12,4,0.6964285714285714,0.7321428571428571,-0.0357142857142857
0.9275805728597791,0.186637126998768,0.057327425399753607,False,stroop,0.23867832350860954,0.5864733498164536,0.1621709119908172,0.30461271152329317,0.34898656606674194,0.30461271152329317,14,1|1|16|20|15|18|1|19|18|5|6|1|1|1,True,loso,1335,5,13,4,0.75,0.7857142857142857,-0.0357142857142857
0.9103669125788291,0.186637126998768,0.057327425399753607,False,stroop,0.23290072434662418,0.5894935199870713,0.20069025772669058,0.30461271152329317,0.34898656606674194,0.30461271152329317,14,1|1|12|17|5|43|13|21|9|8|1|1|2|4,True,loso,1388,6,13,4,0.7857142857142857,0.7857142857142857,0.0
0.8874128220593118,0.186637126998768,0.057327425399753607,False,stroop,0.22916657236337465,0.6050490318709145,0.25323334192247154,0.30461271152329317,0.34898656606674194,0.30461271152329317,14,1|1|20|43|4|19|3|38|3|3|2|2|6|1,True,loso,1441,3,13,4,0.7142857142857143,0.75,-0.0357142857142857
0.9221426681282217,0.186637126998768,0.057327425399753607,False,stroop,0.23379570555188317,0.5799854968912771,0.173499143141131,0.30461271152329317,0.34898656606674194,0.30461271152329317,14,1|1|5|15|10|23|9|15|30|6|17|3|1|2,True,loso,1494,7,13,4,0.75,0.8035714285714286,-0.0535714285714286
0.8646937463087977,0.186637126998768,0.057327425399753607,False,stroop,0.1889829342101796,0.5887328187013445,0.2914862441749606,0.30461271152329317,0.34898656606674194,0.30461271152329317,14,1|1|20|32|4|3|16|12|1|5|1|2|2|3,True,loso,1547,3,13,4,0.7857142857142857,0.7857142857142857,0.0
0.9709541174551909,0.3288011189366387,0.08576022378732776,False,stroop,0.1517452711602753,0.4518795930908174,0.09579083229365044,0.3919916054313777,0.4707472622394562,0.3919916054313777,14,1|8|11|18|4|21|36|3|20|4|3|2|2|1,True,loso,1335,4,14,4,0.6607142857142857,0.75,-0.0892857142857143
0.9594449839413284,0.3288011189366387,0.08576022378732776,False,stroop,0.18558858554089672,0.5103101683143945,0.1261676700814376,0.3919916054313777,0.4707472622394562,0.3919916054313777,14,1|1|24|25|2|2|37|28|25|20|1|1|9|2,True,loso,1388,5,14,4,0.6785714285714286,0.7678571428571429,-0.0892857142857143
0.9823249985245323,0.3288011189366387,0.08576022378732776,False,stroop,0.1311949773391193,0.38813947018854195,0.05261425108913269,0.3919916054313777,0.4707472622394562,0.3919916054313777,14,1|1|4|16|11|16|39|23|4|2|3|1|3|1,True,loso,1441,3,14,4,0.75,0.7321428571428571,0.017857142857142905
0.9825340812728249,0.3288011189366387,0.08576022378732776,False,stroop,0.17823512471160138,0.4740909550022954,0.05632809763867058,0.3919916054313777,0.4707472622394562,0.3919916054313777,14,1|1|6|1|5|7|23|18|2|3|1|2|4|4,True,loso,1494,3,14,4,0.7142857142857143,0.7321428571428571,-0.017857142857142794
0.992552346731784,0.3288011189366387,0.08576022378732776,False,stroop,0.13604055376659138,0.3964709219688034,0.017691625671195782,0.3919916054313777,0.4707472622394562,0.3919916054313777,14,14|1|7|15|14|16|23|25|3|15|2|2|9|1,True,loso,1547,11,14,4,0.7142857142857143,0.8392857142857143,-0.125
0.8947211854839489,0.4555148051908917,0.11110296103817835,False,stroop,0.24542513923527637,0.6256801593572846,0.25417108468440963,0.30692552195599443,0.3855080306529999,0.30692552195599443,14,1|2|11|4|6|1|1|15|19|22|21|1|3|5,True,loso,1335,4,15,4,0.7142857142857143,0.8035714285714286,-0.0892857142857143
0.8426550074821906,0.4555148051908917,0.11110296103817835,False,stroop,0.21871470963148043,0.6354290150272275,0.3146992555242895,0.30692552195599443,0.3855080306529999,0.30692552195599443,14,1|4|26|18|8|5|1|25|3|1|1|2|9|1,True,loso,1388,3,15,4,0.7142857142857143,0.75,-0.0357142857142857
0.9440326169517897,0.4555148051908917,0.11110296103817835,False,stroop,0.22872612850698182,0.5724113665302938,0.14738272605078317,0.30692552195599443,0.3855080306529999,0.30692552195599443,14,1|3|4|44|24|7|1|26|5|1|1|1|15|13,True,loso,1441,4,15,4,0.6964285714285714,0.75,-0.0535714285714286
0.8655685959912823,0.4555148051908917,0.11110296103817835,False,stroop,0.26885279403257156,0.6206344838804295,0.2754818307745735,0.30692552195599443,0.3855080306529999,0.30692552195599443,14,2|1|8|2|23|18|3|20|2|4|12|1|5|15,True,loso,1494,4,15,4,0.7321428571428571,0.75,-0.017857142857142905
0.9477934202310756,0.4555148051908917,0.11110296103817835,False,stroop,0.24050716962721233,0.576535379582493,0.1349187842907745,0.30692552195599443,0.3855080306529999,0.30692552195599443,14,1|1|11|23|28|5|1|22|3|1|2|1|19|8,True,loso,1547,4,15,4,0.7321428571428571,0.75,-0.017857142857142905
