bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
4,0.60000000000000009,0.80000000000000004,False,5,0.69897433687953225,0.80000000000000004,0.10102566312046779,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
5,0.80000000000000004,1,True,10,0.93540486022153613,0.69999999999999996,0.23540486022153617,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
1,0,0.20000000000000001,False,4,0.15519257664090574,0.5,0.34480742335909426,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
2,0.20000000000000001,0.40000000000000002,False,3,0.379175909684969,0.66666666666666663,0.28749075698169763,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
3,0.40000000000000002,0.60000000000000009,False,20,0.54529420110912097,0.69999999999999996,0.15470579889087899,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
4,0.60000000000000009,0.80000000000000004,False,8,0.71275108943466492,0.625,0.08775108943466492,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
5,0.80000000000000004,1,True,4,0.92844582654677665,0.75,0.17844582654677665,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
1,0,0.20000000000000001,False,6,0.025185587542160295,0.83333333333333337,0.8081477457911731,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
2,0.20000000000000001,0.40000000000000002,False,7,0.32685301131750727,0.5714285714285714,0.24457556011106413,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
3,0.40000000000000002,0.60000000000000009,False,17,0.51879230470525084,0.6470588235294118,0.12826651882416096,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
4,0.60000000000000009,0.80000000000000004,False,5,0.61546640552228826,0.80000000000000004,0.18453359447771178,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
5,0.80000000000000004,1,True,4,0.95890905831599427,0.5,0.45890905831599427,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
1,0,0.20000000000000001,False,7,0.086959001447930645,0.5714285714285714,0.48446956998064072,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
2,0.20000000000000001,0.40000000000000002,False,8,0.2994750144454642,0.875,0.5755249855545358,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
3,0.40000000000000002,0.60000000000000009,False,8,0.50194996665838953,0.625,0.12305003334161047,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
4,0.60000000000000009,0.80000000000000004,False,9,0.64546943906697907,0.66666666666666663,0.021197227599687563,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
5,0.80000000000000004,1,True,7,0.89802456923690566,0.5714285714285714,0.32659599780833426,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
1,0,0.20000000000000001,False,8,0.046001467193032261,0.75,0.70399853280696778,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
2,0.20000000000000001,0.40000000000000002,False,7,0.31863930481149322,0.5714285714285714,0.25278926661707818,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
3,0.40000000000000002,0.60000000000000009,False,7,0.49625076521002526,0.5714285714285714,0.075177806218546139,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
4,0.60000000000000009,0.80000000000000004,False,13,0.69706532612340211,0.76923076923076927,0.072165443107367166,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
5,0.80000000000000004,1,True,4,0.98952898237314724,0.5,0.48952898237314724,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
1,0,0.20000000000000001,False,7,0.039494466066330787,0.7142857142857143,0.67479124821938352,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
2,0.20000000000000001,0.40000000000000002,False,6,0.30668473573731087,0.66666666666666663,0.35998193092935576,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
3,0.40000000000000002,0.60000000000000009,False,11,0.49308101300869595,0.63636363636363635,0.14328262335494041,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
4,0.60000000000000009,0.80000000000000004,False,11,0.65854127691666908,0.72727272727272729,0.06873145035605821,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
5,0.80000000000000004,1,True,4,0.97784432785831277,0.5,0.47784432785831277,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
1,0,0.20000000000000001,False,11,0.058519730314994314,0.72727272727272729,0.66875299695773294,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
2,0.20000000000000001,0.40000000000000002,False,5,0.27004217497531191,0.59999999999999998,0.32995782502468807,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
3,0.40000000000000002,0.60000000000000009,False,9,0.51064365472888495,0.66666666666666663,0.15602301193778167,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
4,0.60000000000000009,0.80000000000000004,False,10,0.69909455317487501,0.69999999999999996,0.00090544682512494479,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
5,0.80000000000000004,1,True,4,0.92717459765289878,0.5,0.42717459765289878,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
1,0,0.20000000000000001,False,6,0.033959455120785957,0.66666666666666663,0.63270721154588072,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
2,0.20000000000000001,0.40000000000000002,False,2,0.30387868207984203,0.5,0.19612131792015797,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
3,0.40000000000000002,0.60000000000000009,False,9,0.51151594119803512,0.66666666666666663,0.15515072546863151,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
4,0.60000000000000009,0.80000000000000004,False,5,0.70266482871380342,0.59999999999999998,0.10266482871380345,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
5,0.80000000000000004,1,True,17,0.92416944124440281,0.70588235294117652,0.2182870883032263,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
1,0,0.20000000000000001,False,10,0.082684253209239306,0.40000000000000002,0.31731574679076069,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
