protocol,direction,subject,kind,replicates,n_training_people,n_original_training_rows,full_weight,weight_min,weight_max,weight_q025,weight_median,weight_q975,fraction_weight_gt_0_4,fraction_same_side_of_0_4_as_full,ood_fallback_fraction,benefit_q025,benefit_q975,catastrophe_q025,catastrophe_q975,single_class_catastrophe_fraction
cross_task,stroop_to_arithmetic,5,leave_one_meta_row_out,24,12,24,0.79999987891848312,0.79999850667631212,0.7999999952594421,0.79999855752149973,0.79999984008918656,0.79999997987709404,1,1,0,0.26556754731908205,0.35812915262992179,0.0052410495068040321,0.022373883024179315,0.04166666666666663
cross_task,stroop_to_arithmetic,5,row_bootstrap,1000,12,24,0.79999987891848312,0,0.79999999999999671,0,0.79999938850372909,0.79999999999371507,0.94899999999999995,0.94899999999999995,0.042999999999999997,0.053429690634137814,0.51182117846862918,0,0.076822918011821645,0.375
cross_task,stroop_to_arithmetic,6,leave_one_meta_row_out,24,12,24,0.79999999999999682,0.79999999999999472,0.79999999999999738,0.79999999999999549,0.79999999999999682,0.79999999999999716,1,1,0,0.66251149922821684,0.66666666666666674,0.026941352058146507,0.13058592530420973,0.04166666666666663
cross_task,stroop_to_arithmetic,6,row_bootstrap,1000,12,24,0.79999999999999682,0,0.79999999999999738,0.74500892854694345,0.79999999999999594,0.79999999999999738,0.97499999999999998,0.97499999999999998,0.025000000000000001,0.33333333333333331,0.66666666666666674,0,0.48830278441854086,0.38
cross_task,stroop_to_arithmetic,7,leave_one_meta_row_out,24,12,24,0.79999999999969917,0.79999999988660542,0.80000000000000004,0.79999999994663373,0.79999999999971028,0.79999999999995952,1,1,0,0.48268028237500193,0.74359113034112778,0,0,1
cross_task,stroop_to_arithmetic,7,row_bootstrap,1000,12,24,0.79999999999969917,0,0.80000000000000004,0,0.79999999991211679,0.80000000000000004,0.74399999999999999,0.74399999999999999,0.253,0.18803191092507754,1,0,0,1
cross_task,stroop_to_arithmetic,8,leave_one_meta_row_out,24,12,24,0.79999871381117793,0.79999707891249217,0.79999978553673534,0.79999730223315024,0.79999856378709833,0.79999973508187416,1,1,0,0.25246047944833067,0.29912371705809077,0.0032703562778737556,0.0093331062791565424,0.04166666666666663
cross_task,stroop_to_arithmetic,8,row_bootstrap,1000,12,24,0.79999871381117793,0.75332519245199026,0.79999999998440574,0.79942734660237103,0.79999884479090566,0.79999999740395678,1,1,0,0.14483828214862057,0.39126807998092233,0,0.021643342564691533,0.372
cross_task,stroop_to_arithmetic,9,leave_one_meta_row_out,24,12,24,0.79999994930820328,0.79999986839579929,0.79999998471103151,0.79999987035556308,0.79999994479329861,0.79999998346357393,1,1,0,0.31301386461148795,0.35424982797412979,0.0030079318713743821,0.0074936463295464696,0.04166666666666663
cross_task,stroop_to_arithmetic,9,row_bootstrap,1000,12,24,0.79999994930820328,0.79990752525672371,0.79999999999886529,0.79999501299214404,0.79999995731845908,0.79999999980445824,1,1,0,0.24017772561770825,0.44264241767005341,0,0.0204840604825543,0.36899999999999999
cross_task,stroop_to_arithmetic,10,leave_one_meta_row_out,24,12,24,0.79999999711301606,0.79999999190182569,0.79999999899780372,0.79999999202793903,0.79999999739391714,0.79999999869840577,1,1,0,0.36865140218535813,0.40553933489003779,0.0041797761282670737,0.008868839266107072,0.04166666666666663
cross_task,stroop_to_arithmetic,10,row_bootstrap,1000,12,24,0.79999999711301606,0.63554472352620694,0.79999999999999649,0.79999950586711754,0.79999999740298278,0.79999999999857152,1,1,0,0.28596541528302083,0.54103636930588972,0,0.019432147153866906,0.35599999999999998
cross_task,stroop_to_arithmetic,11,leave_one_meta_row_out,24,12,24,0.79977667765940685,0.65744253805556685,0.79999270690664082,0.67523518202387067,0.79966641249846671,0.79991530356125062,1,1,0,0.03903453892154455,0.20170155858553915,0.030876335946725453,0.10238632030302286,0.04166666666666663
cross_task,stroop_to_arithmetic,11,row_bootstrap,1000,12,24,0.79977667765940685,0,0.7999999999991797,0,0.79833848156983156,0.79999999808715017,0.755,0.755,0.059999999999999998,-0.1800712694030456,0.39955196232252249,0,0.43521813265515519,0.371
cross_task,stroop_to_arithmetic,12,leave_one_meta_row_out,24,12,24,0.79999999982494074,0.79999999874849004,0.79999999995696869,0.79999999897923557,0.79999999982412018,0.79999999992938697,1,1,0,0.41023724530268318,0.46452805908298811,0.0022874465764888517,0.0075515593188631974,0.04166666666666663
cross_task,stroop_to_arithmetic,12,row_bootstrap,1000,12,24,0.79999999982494074,0.79973730459606884,0.79999999999991511,0.79999904895700746,0.79999999976637703,0.79999999999900018,1,1,0,0.27287482147053338,0.54844631492444218,0,0.017708992485779562,0.33199999999999996
cross_task,stroop_to_arithmetic,13,leave_one_meta_row_out,24,12,24,0.79999996106844584,0.79999991106063684,0.79999998877224199,0.79999991343442978,0.79999995909676036,0.79999998599395628,1,1,0,0.32182603305024077,0.35891562979006714,0.0096077401967321653,0.029177279207220824,0.04166666666666663
cross_task,stroop_to_arithmetic,13,row_bootstrap,1000,12,24,0.79999996106844584,0.79974758035349258,0.79999999999999982,0.79999184395702239,0.7999999674069016,0.79999999999894089,1,1,0,0.23591657991955228,0.5470196510504074,0,0.17700284296728472,0.36799999999999999
loso,arithmetic,1,leave_one_meta_row_out,14,14,14,0.64217777246918561,0.40000000000000002,0.72202906983592829,0.46762356002914346,0.66565837076805856,0.71543467681945583,0.9285714285714286,0.9285714285714286,0,0.0074956464024826634,0.04282589127556799,0,0,1
loso,arithmetic,1,row_bootstrap,1000,14,14,0.64217777246918561,0,0.79999701868857276,0.40000000000000002,0.66485060527366935,0.79989481790628236,0.66600000000000004,0.66600000000000004,0.014,0,0.17900175475695648,0,0,1
loso,arithmetic,2,leave_one_meta_row_out,14,14,14,0.79634198863532035,0.75096480275640387,0.79923736835149106,0.76347288583001682,0.79644977122770411,0.79912040346173396,1,1,0,0.064888701882905006,0.13657719790369782,0,0,1
loso,arithmetic,2,row_bootstrap,1000,14,14,0.79634198863532035,0,0.79999701868857276,0.40000000000000002,0.79725778775307443,0.79999353220425895,0.95899999999999996,0.95899999999999996,0.001,0,0.23451326136170694,0,0,1
loso,arithmetic,3,leave_one_meta_row_out,14,14,14,0.57470007804484546,0.23520062087025645,0.77917346630613249,0.24713293622999336,0.58472270533453341,0.7610424128820652,0.8571428571428571,0.8571428571428571,0,0.007640495178197944,0.073720584414817311,0.1291888938621886,0.48386681868207554,0
loso,arithmetic,3,row_bootstrap,1000,14,14,0.57470007804484546,0,0.79999698133500141,0.006404433591486903,0.68949150801636017,0.79991547409195007,0.71599999999999997,0.71599999999999997,0.0030000000000000001,-0.067223211953739995,0.18763430931008754,0,0.61837125674626081,0.11199999999999999
loso,arithmetic,4,leave_one_meta_row_out,14,14,14,0.79950960371208635,0.30983903820196645,0.79999324222683144,0.42389938815751049,0.79959207373877916,0.79999321408154167,0.9285714285714286,0.9285714285714286,0,0.032876943646079286,0.25,0.32898932574648393,0.61406249338715124,0
loso,arithmetic,4,row_bootstrap,1000,14,14,0.79950960371208635,0,0.79999701864695316,0,0.79923576741273672,0.79999700705132104,0.752,0.752,0.028000000000000001,-0.25,0.25,0.0011692066127802117,0.96178247340127199,0.0010000000000000009
loso,arithmetic,5,leave_one_meta_row_out,14,14,14,0.45304456323416392,0.31982810509242549,0.66508137337345985,0.3302595960194849,0.4308651626288027,0.64371725338896835,0.8571428571428571,0.8571428571428571,0,-0.0024453726958412678,0.029961168626645007,0.012641847275127453,0.12057021428204796,0.071428571428571397
loso,arithmetic,5,row_bootstrap,1000,14,14,0.45304456323416392,0.0078480668292912545,0.79998676303250893,0.084306548341605822,0.50218677483224528,0.78640581233174689,0.64000000000000001,0.64000000000000001,0,-0.034286788831608468,0.08138802594353986,0,0.23614469240382815,0.35999999999999999
