dataset,setting,setting_display,comparison_family,subject,method,method_display,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,extra_trees,Extra Trees,6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,1.9374610978208777,0.65278794126897954
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,fixed_blend_010,Fixed blend (10%),6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,6.3106050679010695,0.88823745630902051
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,fixed_blend_025,Fixed blend (25%),6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,6.0345192897982072,0.84365754893741884
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,rf,Random forest,6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,3.4828153463536062,0.77931306111898169
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,riemann_mdm,Riemannian MDM,6,2,4,1,1,3,1,0.33333333333333331,0.375,0.25,0.5,0.5,0.33333333333333331,0.5,0.57916666666666661,0.6791666666666667,0.8047902157967689,0.30365572088427345
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,riemann_ts_logreg,Riemannian TS-LR,6,2,4,0,2,3,1,0.16666666666666666,0.125,0.25,0,0.33333333333333331,0.2857142857142857,0.25,0.65000000000000002,0.69166666666666665,1.8338372656877109,0.58413959576265695
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,stack_recording,OOF recording-level stacking,6,2,4,1,1,3,1,0.33333333333333331,0.375,0.25,0.5,0.5,0.33333333333333331,0.125,0.46250000000000002,0.56666666666666665,1.9595303538715287,0.51719161786302381
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,always_fuse,Neural-classical stacking,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.75,0.87083333333333335,0.88749999999999996,0.41975027932144832,0.13708624872572553
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,always_nn,Feature-MLP (neural reference),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.57916666666666661,0.6791666666666667,0.96509930164933577,0.33543884211375863
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,cbsf,CB-SF,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.875,0.94374999999999998,0.94999999999999996,0.58173714834416113,0.19552125796221567
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,dasf_clean,DASF,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.75,0.87083333333333335,0.88749999999999996,0.41975027932144832,0.13708624872572553
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,eeg_conformer,EEG-Conformer,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.62004879712251582,0.21476053203782666
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,eegnet,EEGNet,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.375,0.69166666666666665,0.73333333333333328,0.68148264514199297,0.24417430864150488
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,equal_blend_050,Equal blend (50%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.875,0.94374999999999998,0.94999999999999996,0.62827818256933676,0.21808251632723555
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,extra_trees,Extra Trees,6,2,4,1,1,3,1,0.33333333333333331,0.375,0.25,0.5,0.5,0.33333333333333331,0.125,0.46250000000000002,0.56666666666666665,0.90348835032282226,0.34748054471681561
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.57916666666666661,0.6791666666666667,0.73411983801309466,0.26744798078586984
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.76666666666666661,0.8041666666666667,0.67727348706273649,0.24215099996717335
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,rf,Random forest,6,2,4,0,2,2,2,0.33333333333333331,0.25,0.5,0,0.5,0.5,0.375,0.69166666666666665,0.73333333333333328,1.2126048016983708,0.41379237505864025
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,riemann_mdm,Riemannian MDM,6,2,4,2,0,2,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.625,0.8354166666666667,0.85416666666666663,7.2024685364513132,0.41027439243746944
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,riemann_ts_logreg,Riemannian TS-LR,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.875,0.94374999999999998,0.94999999999999996,0.48316077777916444,0.16772995434261317
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,6,stack_recording,OOF recording-level stacking,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.57916666666666661,0.6791666666666667,0.59818381114681385,0.20441441750424097
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,always_fuse,Neural-classical stacking,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.5,0.73124999999999996,0.77083333333333326,0.77350448578304964,0.28778274953112709
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,always_nn,Feature-MLP (neural reference),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,1.3405371862778335,0.3488920019694825
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,cbsf,CB-SF,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.77063264013477173,0.28454772820024871
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,dasf_clean,DASF,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.625,0.76666666666666661,0.8041666666666667,1.401025590099847,0.37592805387454625
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,eeg_conformer,EEG-Conformer,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,2.1327244631979729,0.48575673753735654
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,eegnet,EEGNet,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,1.8980091442056584,0.43228439729074647
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,equal_blend_050,Equal blend (50%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.79033850152943275,0.28829088642439393
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,extra_trees,Extra Trees,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.375,0.54374999999999996,0.64583333333333326,1.8870117188366169,0.4192717032186572
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.94401597509511281,0.31917976479333882
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.84891076364939488,0.30207828386271185
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,rf,Random forest,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.375,0.54374999999999996,0.64583333333333326,3.0596926221965162,0.45261709334634731
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,7,riemann_mdm,Riemannian MDM,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,2.6982796795267188,0.42053831344077425
