dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,13,39,13,26,7,6,14,12,0.48717948717948717,0.5,0.46153846153846156,0.53846153846153844,0.66666666666666663,0.54545454545454541,0.58284023668639051,0.71516062749421871,0.72586766748871301,1.0818540795359217,0.33607852801259835,0.31849894057643802,0.60750861704716741,0.65728380544270015,0.11680792962978775,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking,13,39,13,26,9,4,20,6,0.38461538461538464,0.46153846153846156,0.23076923076923078,0.69230769230769229,0.59999999999999998,0.33333333333333331,0.49408284023668636,0.66454284777919914,0.67912041888027208,1.9828581291694773,0.4156518326890048,0.41324299450200097,0.55784759263280959,0.68426189682650729,-0.0063815393435367454,estimated
openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking,15,60,30,30,16,14,10,20,0.59999999999999998,0.59999999999999998,0.66666666666666663,0.53333333333333333,0.58823529411764708,0.625,0.6711111111111111,0.59828949986873214,0.61989398852087663,0.64761264287215969,0.22810091075859931,0.10161733376597537,0.17720404884862531,0.044720249262200057,1.5123054426394897,estimated
openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference),15,60,30,30,22,8,16,14,0.59999999999999998,0.59999999999999998,0.46666666666666667,0.73333333333333328,0.63636363636363635,0.53846153846153844,0.65555555555555545,0.5687233934770185,0.59074626638176808,0.98751459292941335,0.31199695848427317,0.26378722889298095,0.43721920288537086,0.31227746695742947,0.23750602267786583,estimated
openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF,15,60,30,30,19,11,14,16,0.58333333333333337,0.58333333333333326,0.53333333333333333,0.6333333333333333,0.59259259259259256,0.56140350877192979,0.66111111111111109,0.58477305648398459,0.6038089632230772,0.71207590393183751,0.24568343036846099,0.12158173410298394,0.40453665864663391,0.10020579187515501,0.39893251603718655,estimated
openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF,15,60,30,30,22,8,16,14,0.59999999999999998,0.59999999999999998,0.46666666666666667,0.73333333333333328,0.63636363636363635,0.53846153846153844,0.65555555555555545,0.5687233934770185,0.59074626638176808,0.98751459292941335,0.31199695848427317,0.26378722889298095,0.43721920288537086,0.31227746695742947,0.23750602267786583,estimated
openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,15,60,30,30,14,16,4,26,0.66666666666666663,0.66666666666666674,0.8666666666666667,0.46666666666666667,0.61904761904761907,0.72222222222222221,0.68666666666666665,0.63540477202482071,0.64849166917101819,0.62177980109426978,0.21843980176662467,0.069969635156823112,0.097946260629948323,-0.29977098345392239,1.0575563270448101,estimated
openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet,15,60,30,30,4,26,0,30,0.56666666666666665,0.56666666666666665,1,0.13333333333333333,0.5357142857142857,0.69767441860465118,0.66999999999999993,0.6132426681939589,0.62687245893579879,0.72982238559759571,0.26444428733089398,0.20382513539648558,0.49363200740308438,-1.5885827325022182,1.6347480212753553,estimated
openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%),15,60,30,30,19,11,16,14,0.55000000000000004,0.55000000000000004,0.46666666666666667,0.6333333333333333,0.56000000000000005,0.50909090909090904,0.65666666666666673,0.57996911955003405,0.60188029550783173,0.67400302749285934,0.24103961870123422,0.10526375594996275,0.81345818583813934,0.15763532308871592,0.62996439239637692,estimated
openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,15,60,30,30,19,11,13,17,0.59999999999999998,0.59999999999999998,0.56666666666666665,0.6333333333333333,0.6071428571428571,0.58620689655172409,0.67000000000000004,0.6247894311993416,0.63564846810554698,0.64844000305860638,0.22797210325567166,0.1630048436567007,0.19134227759643085,0.18362716083947545,0.76676891768093014,estimated
openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%),15,60,30,30,22,8,16,14,0.59999999999999998,0.59999999999999998,0.46666666666666667,0.73333333333333328,0.63636363636363635,0.53846153846153844,0.65666666666666673,0.57311594121252374,0.5951960976167795,0.79900555950297114,0.28150351963324755,0.19744895064213686,0.36823564914962836,0.20048021550106282,0.32824245231812282,estimated
openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%),15,60,30,30,21,9,16,14,0.58333333333333337,0.58333333333333326,0.46666666666666667,0.69999999999999996,0.60869565217391308,0.52830188679245282,0.65777777777777779,0.57837959152906693,0.60046150762151429,0.726641874510084,0.26090649035102931,0.15227510723966955,0.31725209186687198,0.17891027891435074,0.42664531673991551,estimated
openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest,15,60,30,30,21,9,18,12,0.55000000000000004,0.55000000000000004,0.40000000000000002,0.69999999999999996,0.5714285714285714,0.47058823529411764,0.63,0.60145029186854027,0.61251070779592021,0.69959764798221458,0.24589805479174631,0.11931840356410398,0.20104165882350034,0.21657540625561744,0.47305500387722349,estimated
openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,15,60,30,30,19,11,16,14,0.55000000000000004,0.55000000000000004,0.46666666666666667,0.6333333333333333,0.56000000000000005,0.50909090909090904,0.62555555555555553,0.56289598494054893,0.58490467561544757,0.74635158545298708,0.26552795718322542,0.1828048129369266,0.28762669281368825,0.025422377105018629,0.32066696936138978,estimated
openbci,loso,arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,15,60,30,30,20,10,13,17,0.6166666666666667,0.6166666666666667,0.56666666666666665,0.66666666666666663,0.62962962962962965,0.59649122807017541,0.57333333333333336,0.5829753079363108,0.59615416034477464,0.93726685732823789,0.30714415462140926,0.21159968146274441,0.41820902526184678,0.036017588147103541,0.11206691405407292,estimated
openbci,loso,arithmetic,Arithmetic LOSO,stack_recording,OOF recording-level stacking,15,60,30,30,19,11,11,19,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.64777777777777779,0.56492291136295958,0.58419403517489188,0.67843818845049375,0.24139317073058927,0.084100823134735311,0.3226997289994169,0.07819405616334292,0.54038769014670029,estimated
