variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_accuracy,mean_recording_log_loss
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,1.0,0.4331681183379588
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.75,0.4832364949268129
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,0.75,4.723288540852925
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.5,0.8417737152879815
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.25,0.6790804540242374
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.75,1.090831163810521
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.75,0.45219219682698303
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.7281546190496825
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.6851261927510524
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.75,0.527735247389183
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.75,0.964024978996547
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.5,0.6206977706950167
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,14,1,0.75,0.44814098660053053
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,1,0.5,0.5254167265251831
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,1,1,0.75,0.5110912134088755
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,2,1,0.5,1.6714251870653665
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,3,1,0.75,0.4063378817323187
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,4,1,0.5,2.6607331969586356
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,5,1,0.5,0.8927930071847827
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,6,1,0.5,4.462878881964108
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,7,1,0.5,1.3261646456736715
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,8,1,0.5,1.0369467744005063
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,9,1,0.5,1.4394998202078395
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,10,1,0.75,0.6487891723382846
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,11,1,0.75,0.6333327131576493
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,12,1,0.5,0.8897621694318287
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,13,1,0.75,0.4417688601352725
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,14,1,0.75,0.4558020509423002
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,1,0.5,1.643044111913434
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,1,1,0.5,0.692386954232145
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,2,1,0.5,1.1718804644728984
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,3,1,0.75,0.4232629624704133
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,4,1,0.0,4.494334831406232
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,5,1,0.5,0.9261124063705659
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,6,1,0.5,1.4001622419960382
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,7,1,0.75,0.6459081225869703
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,8,1,0.5,1.0280578230663802
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,9,1,0.5,1.827934260296169
