task,task_display,variant,variant_display,variant_role,held_out_subject,train_participants,validation_participants,train_recordings,validation_recordings,train_windows,validation_windows,participant_overlap,recording_overlap,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,14,14,1,56,4,10168,594,0,0,4,3,1,1,2,1,0,0.25,0.16666666666666666,0,0.33333333333333331,0,0,0.33333333333333337,0.16666666666666666,0.33333333333333331,0.71198817822221039,0.27263972441813689
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,15,14,1,56,4,10035,727,0,0,4,3,1,0,3,0,1,0.25,0.5,1,0,0.25,0.40000000000000002,1,1,1,3.8570738250221708,0.71867956035847191
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,1,14,1,28,2,6133,375,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,1.4925640673837737,0.44963579061319209
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,2,14,1,28,2,5788,720,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,2.3595053903899705,0.49111088159254407
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,3,14,1,28,2,6167,341,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.0063746322672166063,6.6624802046796725e-05
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,4,14,1,28,2,6171,337,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,0,0.25,0.5,7.0357351756108724,0.50000111942823777
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,5,14,1,28,2,6032,476,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.28508440456385886,0.094374395782376372
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,6,14,1,28,2,6167,341,0,0,2,1,1,1,0,1,0,0.5,0.5,0,1,,0,1,1,1,3.01528938359264,0.49759872326357046
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,7,14,1,28,2,6237,271,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.29795523922558842,0.09957493137187344
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,8,14,1,28,2,6007,501,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,0.85104155527734948,0.33333525074565379
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,9,14,1,28,2,5672,836,0,0,2,1,1,1,0,1,0,0.5,0.5,0,1,,0,1,1,1,0.9800289928208693,0.36906914060715923
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,10,14,1,28,2,6178,330,0,0,2,1,1,1,0,1,0,0.5,0.5,0,1,,0,1,1,1,0.53777253314771656,0.2125287073697659
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,11,14,1,28,2,6053,455,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,0.76072395783371305,0.30537910473938334
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,12,14,1,28,2,6104,404,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.21371152809965283,0.060367635486299649
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,13,14,1,28,2,6125,383,0,0,2,1,1,1,0,1,0,0.5,0.5,0,1,,0,1,1,1,0.5016673325632357,0.20009950350758243
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,14,14,1,28,2,6183,325,0,0,2,1,1,1,0,1,0,0.5,0.5,0,1,,0,1,1,1,0.61711560892861073,0.25129877629542435
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,15,14,1,28,2,6095,413,0,0,2,1,1,0,1,0,1,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,4.7839663804356993,0.49993006663716349
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,12,1,48,4,7710,653,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,0,0.51388888888888884,0.63888888888888884,1.1912916916345935,0.26792261313035032
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,12,1,48,4,7504,859,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,0,0.51388888888888884,0.63888888888888884,2.8234256506579358,0.24999377468206457
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,12,1,48,4,7793,570,0,0,4,1,3,1,0,0,3,1,1,1,1,1,1,1,1,1,0.075419406778690509,0.012454925896579535
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,12,1,48,4,7904,459,0,0,4,1,3,0,1,1,2,0.5,0.33333333333333331,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0,0.51388888888888884,0.63888888888888884,4.3501479434613062,0.41488600619190197
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,12,1,48,4,7703,660,0,0,4,1,3,1,0,0,3,1,1,1,1,1,1,1,1,1,0.0056175455888958972,0.00011055076015849858
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,12,1,48,4,7822,541,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,1.7075304440843087,0.24945982919455878
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,12,1,48,4,7822,541,0,0,4,1,3,1,0,3,0,0.25,0.5,0,1,,0,0,0.51388888888888884,0.63888888888888884,9.2947106957689591,0.75087418703474962
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,12,1,48,4,7617,746,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,0.26920143366813981,0.094239183734806289
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,12,1,48,4,7490,873,0,0,4,1,3,1,0,2,1,0.5,0.66666666666666663,0.33333333333333331,1,1,0.5,1,1,1,1.2046414688633842,0.42385248700531875
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,12,1,48,4,7770,593,0,0,4,1,3,1,0,3,0,0.25,0.5,0,1,,0,0.66666666666666663,0.90277777777777768,0.91666666666666652,5.8010517505950467,0.74627885283142426
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,12,1,48,4,7691,672,0,0,4,1,3,1,0,0,3,1,1,1,1,1,1,1,1,1,0.0037623905718746661,2.5994716059603598e-05
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,12,1,48,4,7740,623,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,0.40190366887854756,0.15977249621343531
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,12,1,48,4,7790,573,0,0,4,1,3,1,0,1,2,0.75,0.83333333333333326,0.66666666666666663,1,1,0.80000000000000004,1,1,1,0.30682300881530977,0.096621035557500748
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,12,1,48,4,7710,653,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.25,0.33333333333333331,0.5,1.4920088970781062,0.48053482201495179
