task,task_display,variant,variant_display,variant_role,metric,n_participants,participant_macro_mean,participant_standard_deviation,ci95_percentile_low,ci95_percentile_high
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,brier_score,13,0.26665322591914681,0.25634984225284957,0.14135910909436883,0.40794040407147197
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,accuracy,13,0.61538461538461542,0.16505632294338121,0.51923076923076927,0.69230769230769229
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,balanced_accuracy,13,0.53846153846153844,0.16878989451394444,0.44871794871794868,0.62820512820512819
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,sensitivity,13,0.38461538461538464,0.50636968354183332,0.15384615384615385,0.61538461538461542
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,specificity,13,0.69230769230769229,0.3180245291476762,0.53846153846153832,0.84615384615384615
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,f1,13,0.20512820512820512,0.27347088471412234,0.076923076923076927,0.34615384615384615
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,auroc,13,0.66666666666666674,0.33333333333333331,0.48717948717948717,0.84615384615384603
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,pr_auc,13,0.50961538461538469,0.40545821920558905,0.3141025641025641,0.71153846153846156
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,average_precision,13,0.63461538461538458,0.31094699578551033,0.47435897435897434,0.79487179487179493
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,log_loss,13,1.4074272844233098,1.7932637244732852,0.73802260642895967,2.4679646642105237
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,brier_score,13,0.27802267539643993,0.12796069585592382,0.21450072220721755,0.34782713965469603
