task,strategy,strategy_label,held_out_subject,split_seed,fold,train_windows,validation_windows,train_recordings,validation_recordings,train_participants,validation_participants,overlapping_recordings,recording_overlap_rate,overlapping_participants,participant_overlap_rate,nominal_adjacent_window_raw_overlap,validation_window_accuracy,validation_window_log_loss,validation_recording_accuracy
arithmetic,random_window,Random-window split,5,1335,1,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.99,0.057040198642125464,1.0
arithmetic,random_window,Random-window split,5,1335,2,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.036024027118400165,1.0
arithmetic,recording_disjoint,Recording-disjoint split,5,1335,1,385,442,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.334841628959276,5.335496468129712,0.5
arithmetic,recording_disjoint,Recording-disjoint split,5,1335,2,442,385,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.612987012987013,2.2839122174014195,0.5
arithmetic,random_window,Random-window split,5,1388,1,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.98,0.06452293940896667,1.0
arithmetic,random_window,Random-window split,5,1388,2,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.99,0.05016633373976782,1.0
arithmetic,recording_disjoint,Recording-disjoint split,5,1388,1,351,476,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.43487394957983194,8.932860274699774,0.5
arithmetic,recording_disjoint,Recording-disjoint split,5,1388,2,476,351,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5669515669515669,2.5515200500779613,0.5
arithmetic,random_window,Random-window split,5,1441,1,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0325492235452177,1.0
arithmetic,random_window,Random-window split,5,1441,2,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.03340927025740835,1.0
arithmetic,recording_disjoint,Recording-disjoint split,5,1441,1,351,476,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.43487394957983194,8.932860274699774,0.5
arithmetic,recording_disjoint,Recording-disjoint split,5,1441,2,476,351,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5669515669515669,2.5515200500779613,0.5
arithmetic,random_window,Random-window split,5,1494,1,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.98,0.04525799003502209,1.0
arithmetic,random_window,Random-window split,5,1494,2,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.03049815255669304,1.0
arithmetic,recording_disjoint,Recording-disjoint split,5,1494,1,351,476,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.43487394957983194,8.932860274699774,0.5
arithmetic,recording_disjoint,Recording-disjoint split,5,1494,2,476,351,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5669515669515669,2.5515200500779613,0.5
arithmetic,random_window,Random-window split,5,1547,1,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.98,0.04758108201518609,1.0
arithmetic,random_window,Random-window split,5,1547,2,727,100,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.99,0.06197045382498008,1.0
arithmetic,recording_disjoint,Recording-disjoint split,5,1547,1,385,442,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.334841628959276,5.335496468129712,0.5
arithmetic,recording_disjoint,Recording-disjoint split,5,1547,2,442,385,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.612987012987013,2.2839122174014195,0.5
arithmetic,random_window,Random-window split,6,1335,1,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9295774647887324,0.09529739426757598,1.0
arithmetic,random_window,Random-window split,6,1335,2,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9859154929577465,0.08854752303597924,1.0
arithmetic,recording_disjoint,Recording-disjoint split,6,1335,1,310,280,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5428571428571428,2.0888622756591038,0.5
arithmetic,recording_disjoint,Recording-disjoint split,6,1335,2,280,310,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5903225806451613,3.549963566011105,0.5
arithmetic,random_window,Random-window split,6,1388,1,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.971830985915493,0.09513385572017895,1.0
arithmetic,random_window,Random-window split,6,1388,2,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9859154929577465,0.05659007526744384,1.0
arithmetic,recording_disjoint,Recording-disjoint split,6,1388,1,249,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4252199413489736,3.674074363001214,0.5
arithmetic,recording_disjoint,Recording-disjoint split,6,1388,2,341,249,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5220883534136547,4.2829379336456626,0.5
arithmetic,random_window,Random-window split,6,1441,1,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.971830985915493,0.15634806689275046,1.0
arithmetic,random_window,Random-window split,6,1441,2,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9295774647887324,0.15368945060559103,1.0
