dataset,direction,subject,method,n_recordings,accuracy,direction_label,method_label
openbci,arithmetic_to_stroop,3,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,4,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,5,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,6,riemann_ts_logreg,4,0.5,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,7,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,8,riemann_ts_logreg,4,0.25,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,9,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,10,riemann_ts_logreg,4,0.5,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,11,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,12,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,13,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,14,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,15,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,1,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,2,stack_recording,4,1.0,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,3,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,4,stack_recording,4,0.5,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,5,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,6,stack_recording,4,0.25,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,7,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,8,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,9,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,10,stack_recording,4,0.5,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,11,stack_recording,4,0.5,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,12,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
