outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit
9,11,0.3587664811251402,0.2288318304025716,0.1673222526969695,0.5725322584515563,0.929052347317338,-0.25
9,12,0.3029122790415066,0.2008223317844354,0.4743578012263237,0.6685726834953932,0.7741167225768822,0.0
9,13,0.3279532918163966,0.1988050386303925,0.2694273868217896,0.6137058704018254,0.8802247673637164,0.25
9,14,0.366606810899107,0.1171286618502343,0.1569598191379557,0.3984641098302983,0.947872202424608,0.0
9,15,0.2799874852395778,0.2222568139860188,0.3064876380033882,0.6338242890895164,0.8650098654366196,0.25
10,1,0.4948706054630692,0.2635964743715311,0.2858561258111872,0.6627793984625266,0.8710818622050205,0.0
10,2,0.2769044324490528,0.2534296317515349,0.23136287617364,0.6277593612659114,0.8927019041408899,0.0
10,3,0.2812596011019006,0.2023752154658739,0.0759383576721853,0.5070723773728909,0.9670487997824686,0.0
10,4,0.4815384060423415,0.2692367961219362,0.3272326587404391,0.6796432068305024,0.8555276115995087,0.0
10,5,0.2301708713541594,0.2458820373839798,0.160231809303063,0.6027205210508738,0.936452895041668,0.0
10,6,0.6455787763740028,0.2342336432839306,0.3619732091193951,0.6512717265205207,0.8284201902955385,0.0
10,7,0.3010840445509336,0.2279580873025152,0.3938702874614036,0.6434573837065537,0.8189219429180054,-0.25
10,8,0.3088752771696481,0.2463795976531964,0.0799103152614563,0.5822191328708717,0.9677837267318296,0.0
10,9,0.2177106699892046,0.2085125415227234,0.1570655943790647,0.5334683892537787,0.9298418073446616,0.0
10,11,0.311644186651108,0.2331065812226484,0.3776892178002121,0.6565724672465072,0.8204514131482158,0.0
10,12,0.2343443098319464,0.2225116814213426,0.4512596853135241,0.6767302905779041,0.7884502785929134,0.0
10,13,0.3000442526827963,0.2514375389276238,0.1117399832296091,0.5812940239466148,0.953961399525248,-0.25
10,14,0.3899795140487765,0.1614871714025011,0.128539535877456,0.4883481781426151,0.9604932061549004,0.0
10,15,0.3352891840347965,0.2149114103444357,0.3312078745212586,0.6326007577013798,0.8646775798009718,0.0
11,1,0.4793842312188379,0.2431025983180505,0.3893196781547664,0.6798219841236367,0.8227178493648721,0.0
11,2,0.3047137208880396,0.2326354150077488,0.2825891640049483,0.6226723434868121,0.8708234358583257,0.0
11,3,0.3098116560549276,0.2331718670170965,0.1241802446928228,0.5538372814798769,0.9460188075115806,0.0
11,4,0.4583533742847041,0.278560129021555,0.1686037814200348,0.6521506432884497,0.9274486550058936,-0.25
11,5,0.2200221256531515,0.2283054266179884,0.1611578824566751,0.5811695655197004,0.9336007917469198,0.0
11,6,0.5908926043685153,0.2715869279036422,0.3174867120589684,0.6529685967577374,0.8600502593680363,0.25
11,7,0.2777888550547764,0.2379574378840543,0.2547784563965467,0.6226248159893593,0.8918916399069061,0.0
11,8,0.3412463714839546,0.2621295238581975,0.1152533445914312,0.5948135214909475,0.9503411227992008,0.0
11,9,0.2392483048289126,0.1705194604574435,0.0608146911424214,0.4484862359020259,0.975283983510248,-0.25
11,10,0.2665735137574082,0.2319513685753343,0.3288992945456824,0.6527693437509549,0.8495046670280058,0.25
11,12,0.2895655847911942,0.2032027186977224,0.5083198604613497,0.6812014550723272,0.7416716666703813,0.0
11,13,0.3235286489384639,0.206997895168505,0.3930982018647645,0.6572979404662214,0.8063204351936127,-0.25
11,14,0.3783550393334111,0.1214084546045652,0.1252156024538843,0.4089779914300546,0.9648252810246846,0.0
11,15,0.3107682147118366,0.2324518740707689,0.249611662649761,0.610854786868826,0.902336347431406,0.25
12,1,0.4866121430034591,0.2618783901874399,0.4141431255733128,0.6800040849532378,0.8116718390999308,0.0
12,2,0.3285329520844593,0.2408430390339482,0.302721039219844,0.6484483817563365,0.8657780203608334,0.0
12,3,0.3024064768404907,0.2062400963857327,0.068592481243712,0.5121161215193407,0.9704530588367528,0.0
12,4,0.4731002497376442,0.235270474082552,0.1625008511213984,0.6285533315954708,0.9320448029275034,0.0
12,5,0.2314192864594741,0.2354608306640343,0.1166369797851082,0.5740584123691972,0.9502089183438908,-0.25
12,6,0.5916537742209491,0.2675438292041892,0.3033956044716953,0.6565743025324117,0.867965922007499,-0.25
