variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,split_seed,fold,train_windows,train_recordings,validation_windows,validation_recordings,recording_accuracy,recording_balanced_accuracy,recording_log_loss,analysis_digest
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1494,1,537,2,501,2,0.5,0.5,0.6050837236028057,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1494,2,501,2,537,2,0.5,0.5,2.270369467912014,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1547,1,589,2,449,2,1.0,1.0,0.3547328277249498,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1547,2,449,2,589,2,0.5,0.5,2.033416868218143,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1335,1,547,2,532,2,1.0,1.0,0.5333514637453255,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1335,2,532,2,547,2,0.5,0.5,2.9062872300890423,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1388,1,243,2,836,2,0.5,0.5,0.8582914590560717,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1388,2,836,2,243,2,0.5,0.5,3.5056679986282826,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1441,1,243,2,836,2,0.5,0.5,0.8582914590560717,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1441,2,836,2,243,2,0.5,0.5,3.5056679986282826,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1494,1,243,2,836,2,0.5,0.5,0.8582914590560717,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1494,2,836,2,243,2,0.5,0.5,3.5056679986282826,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1547,1,547,2,532,2,1.0,1.0,0.5333514637453255,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1547,2,532,2,547,2,0.5,0.5,2.9062872300890423,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1335,1,241,2,297,2,0.5,0.5,5.246362664861573,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1335,2,297,2,241,2,0.5,0.5,1.8298352773758606,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1388,1,208,2,330,2,0.5,0.5,0.6016744039806244,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1388,2,330,2,208,2,0.5,0.5,1.7716399885199263,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
