model,protocol,direction,subject,seed,selected_epoch,inner_folds,inner_epoch_mean,inner_epoch_standard_deviation,inner_epoch_minimum,inner_epoch_maximum,inner_epoch_range,outer_training_recordings,outer_test_recordings,parameter_count
Residual MLP,loso,arithmetic,7,1388,3,14,7.5,7.8715651849894792,1,24,23,56,4,
Residual MLP,loso,arithmetic,7,1441,2,14,8.6428571428571423,10.859998178616809,1,36,35,56,4,
Residual MLP,loso,arithmetic,7,1494,3,14,10.071428571428571,13.741930699165215,1,49,48,56,4,
Residual MLP,loso,arithmetic,7,1547,2,14,5.5714285714285712,5.983493778905248,1,18,17,56,4,
Residual MLP,loso,arithmetic,8,1335,4,14,7.7857142857142856,8.9972523278248371,1,29,28,56,4,
Residual MLP,loso,arithmetic,8,1388,1,14,5.9285714285714288,7.300835418100986,1,21,20,56,4,
Residual MLP,loso,arithmetic,8,1441,2,14,7.8571428571428568,12.629983512122392,1,33,32,56,4,
Residual MLP,loso,arithmetic,8,1494,2,14,3.5,3.6108809920103346,1,14,13,56,4,
Residual MLP,loso,arithmetic,8,1547,6,14,9.6428571428571423,9.1870070698295923,1,29,28,56,4,
Residual MLP,loso,arithmetic,9,1335,5,14,5.4285714285714288,4.8629570888865192,1,15,14,56,4,
Residual MLP,loso,arithmetic,9,1388,4,14,8.1428571428571423,9.9449031619769386,1,38,37,56,4,
Residual MLP,loso,arithmetic,9,1441,5,14,7.2857142857142856,6.4620617265886402,1,19,18,56,4,
Residual MLP,loso,arithmetic,9,1494,3,14,7.2857142857142856,9.1938823424858196,1,31,30,56,4,
Residual MLP,loso,arithmetic,9,1547,4,14,7.3571428571428568,8.3261140890679499,1,29,28,56,4,
Residual MLP,loso,arithmetic,10,1335,3,14,8.8571428571428577,12.321695330764181,1,36,35,56,4,
Residual MLP,loso,arithmetic,10,1388,2,14,6.2142857142857144,8.4414596935744335,1,28,27,56,4,
Residual MLP,loso,arithmetic,10,1441,3,14,10.5,13.414974411512624,1,47,46,56,4,
Residual MLP,loso,arithmetic,10,1494,2,14,8.3571428571428577,11.118986830276764,1,41,40,56,4,
Residual MLP,loso,arithmetic,10,1547,2,14,12,18,1,62,61,56,4,
Residual MLP,loso,arithmetic,11,1335,8,14,9.2142857142857135,8.6840133528275913,1,26,25,56,4,
Residual MLP,loso,arithmetic,11,1388,6,14,10,10.107118588096519,1,33,32,56,4,
Residual MLP,loso,arithmetic,11,1441,2,14,8.4285714285714288,10.638929137221151,1,31,30,56,4,
Residual MLP,loso,arithmetic,11,1494,4,14,8.0714285714285712,9.1016844232625047,1,28,27,56,4,
Residual MLP,loso,arithmetic,11,1547,4,14,7.7142857142857144,7.2899147555274695,1,21,20,56,4,
Residual MLP,loso,arithmetic,12,1335,2,14,7.0714285714285712,10.156197696399557,1,37,36,56,4,
Residual MLP,loso,arithmetic,12,1388,3,14,7.7142857142857144,10.432409349482258,1,38,37,56,4,
