model,protocol,direction,subject,seeds,selected_epoch_mean,selected_epoch_standard_deviation,selected_epoch_minimum,selected_epoch_maximum,selected_epoch_range,inner_epoch_range_mean_across_seeds
EEGNet,loso,stroop,12,5,5,1.4142135623730951,4,7,3,41.799999999999997
EEGNet,loso,stroop,13,5,5,1.4142135623730951,4,7,3,31.399999999999999
Residual MLP,cross_task,arithmetic_to_stroop,1,5,8.1999999999999993,8.4083292038311637,1,22,21,14.800000000000001
Residual MLP,cross_task,arithmetic_to_stroop,2,5,1,0,1,1,0,0.40000000000000002
Residual MLP,cross_task,arithmetic_to_stroop,3,5,1,0,1,1,0,0
Residual MLP,cross_task,arithmetic_to_stroop,4,5,1,0,1,1,0,0
Residual MLP,cross_task,arithmetic_to_stroop,5,5,1,0,1,1,0,0
Residual MLP,cross_task,arithmetic_to_stroop,6,5,1,0,1,1,0,0.20000000000000001
Residual MLP,cross_task,arithmetic_to_stroop,7,5,3.2000000000000002,3.2710854467592254,1,9,8,5.4000000000000004
Residual MLP,cross_task,arithmetic_to_stroop,8,5,6,1.8708286933869707,4,9,5,10.6
Residual MLP,cross_task,arithmetic_to_stroop,9,5,1.3999999999999999,0.89442719099991586,1,3,2,1
Residual MLP,cross_task,arithmetic_to_stroop,10,5,1,0,1,1,0,0
Residual MLP,cross_task,arithmetic_to_stroop,11,5,1,0,1,1,0,0
Residual MLP,cross_task,arithmetic_to_stroop,12,5,2,1.7320508075688772,1,5,4,2.7999999999999998
Residual MLP,cross_task,arithmetic_to_stroop,13,5,2.6000000000000001,3.5777087639996639,1,9,8,3.6000000000000001
Residual MLP,cross_task,stroop_to_arithmetic,1,5,1,0,1,1,0,0.20000000000000001
Residual MLP,cross_task,stroop_to_arithmetic,2,5,11.800000000000001,10.497618777608569,4,30,26,21.800000000000001
Residual MLP,cross_task,stroop_to_arithmetic,3,5,18.600000000000001,19.320973060381817,1,50,49,35.399999999999999
Residual MLP,cross_task,stroop_to_arithmetic,4,5,29.600000000000001,15.709869509324385,12,50,38,58.200000000000003
Residual MLP,cross_task,stroop_to_arithmetic,5,5,19.199999999999999,17.282939564784691,10,50,40,37.399999999999999
Residual MLP,cross_task,stroop_to_arithmetic,6,5,1,0,1,1,0,0
Residual MLP,cross_task,stroop_to_arithmetic,7,5,5.2000000000000002,3.8340579025361627,2,11,9,8.4000000000000004
Residual MLP,cross_task,stroop_to_arithmetic,8,5,10.4,4.8785243670601872,3,16,13,19.600000000000001
Residual MLP,cross_task,stroop_to_arithmetic,9,5,1,0,1,1,0,0
Residual MLP,cross_task,stroop_to_arithmetic,10,5,1,0,1,1,0,0.40000000000000002
Residual MLP,cross_task,stroop_to_arithmetic,11,5,13.6,8.2945765413310877,6,26,20,25.399999999999999
Residual MLP,cross_task,stroop_to_arithmetic,12,5,1,0,1,1,0,0
Residual MLP,cross_task,stroop_to_arithmetic,13,5,2.2000000000000002,2.6832815729997477,1,7,6,2.6000000000000001
Residual MLP,loso,arithmetic,1,5,3,0.70710678118654757,2,4,2,35.200000000000003
Residual MLP,loso,arithmetic,2,5,1.8,0.83666002653407556,1,3,2,28.199999999999999
Residual MLP,loso,arithmetic,3,5,4.5999999999999996,0.54772255750516619,4,5,1,29
Residual MLP,loso,arithmetic,4,5,3.6000000000000001,0.89442719099991586,3,5,2,42.600000000000001
Residual MLP,loso,arithmetic,5,5,2.6000000000000001,0.89442719099991586,2,4,2,29.199999999999999
Residual MLP,loso,arithmetic,6,5,2.7999999999999998,1.0954451150103321,2,4,2,26
Residual MLP,loso,arithmetic,7,5,2.7999999999999998,0.83666002653407556,2,4,2,31.399999999999999
Residual MLP,loso,arithmetic,8,5,3,2,1,6,5,24.199999999999999
Residual MLP,loso,arithmetic,9,5,4.2000000000000002,0.83666002653407556,3,5,2,25.399999999999999
Residual MLP,loso,arithmetic,10,5,2.3999999999999999,0.54772255750516607,2,3,1,41.799999999999997
Residual MLP,loso,arithmetic,11,5,4.7999999999999998,2.2803508501982761,2,8,6,26.800000000000001
Residual MLP,loso,arithmetic,12,5,5.2000000000000002,3.5637059362410923,2,11,9,41.600000000000001
Residual MLP,loso,arithmetic,13,5,6.7999999999999998,2.7748873851023217,2,9,7,28.399999999999999
Residual MLP,loso,arithmetic,14,5,3.6000000000000001,2.0736441353327719,2,7,5,24
Residual MLP,loso,arithmetic,15,5,2.7999999999999998,1.3038404810405297,1,4,3,31.800000000000001
Residual MLP,loso,stroop,1,5,6,3,3,9,6,26.199999999999999
Residual MLP,loso,stroop,2,5,4.5999999999999996,1.51657508881031,3,6,3,31.199999999999999
Residual MLP,loso,stroop,3,5,3,1.4142135623730951,2,5,3,22.600000000000001
Residual MLP,loso,stroop,4,5,3.3999999999999999,1.51657508881031,2,5,3,26.199999999999999
Residual MLP,loso,stroop,5,5,3.6000000000000001,2.0736441353327719,2,7,5,27.199999999999999
Residual MLP,loso,stroop,6,5,4.4000000000000004,1.8165902124584949,2,7,5,27.199999999999999
Residual MLP,loso,stroop,7,5,4.4000000000000004,3.1304951684997055,1,9,8,26.399999999999999
Residual MLP,loso,stroop,8,5,2,1,1,3,2,14.800000000000001
Residual MLP,loso,stroop,9,5,2.3999999999999999,1.51657508881031,1,5,4,27.600000000000001
Residual MLP,loso,stroop,10,5,3.2000000000000002,2.6832815729997477,1,7,6,25.600000000000001
Residual MLP,loso,stroop,11,5,2.6000000000000001,1.6733200530681511,1,5,4,42.799999999999997
Residual MLP,loso,stroop,12,5,3.7999999999999998,1.4832396974191326,2,6,4,37.200000000000003
Residual MLP,loso,stroop,13,5,1.6000000000000001,0.89442719099991586,1,3,2,39.200000000000003
