setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,1494,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,1547,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,1335,13,39,0.48717948717948717,0.44230769230769229,0.48717948717948717,0.44230769230769229,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,1388,13,39,0.51282051282051277,0.51923076923076927,0.51282051282051277,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,1441,13,39,0.43589743589743585,0.46153846153846156,0.4358974358974359,0.46153846153846156,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,1494,13,39,0.53846153846153844,0.53846153846153844,0.53846153846153844,0.53846153846153844,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,1547,13,39,0.48717948717948717,0.5,0.48717948717948717,0.5,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,1335,13,39,0.61538461538461542,0.55769230769230771,0.61538461538461542,0.55769230769230771,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,1388,13,39,0.53846153846153844,0.51923076923076927,0.53846153846153844,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,1441,13,39,0.51282051282051277,0.46153846153846156,0.51282051282051277,0.46153846153846156,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,1494,13,39,0.5641025641025641,0.5,0.5641025641025641,0.5,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,1547,13,39,0.53846153846153844,0.51923076923076927,0.53846153846153844,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,1335,13,39,0.53846153846153844,0.5,0.53846153846153844,0.5,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,1388,13,39,0.5641025641025641,0.53846153846153844,0.5641025641025641,0.53846153846153855,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,1441,13,39,0.48717948717948717,0.48076923076923078,0.48717948717948717,0.48076923076923078,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,1494,13,39,0.69230769230769229,0.59615384615384615,0.69230769230769229,0.59615384615384615,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,1547,13,39,0.53846153846153844,0.48076923076923078,0.53846153846153844,0.48076923076923078,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,1335,13,39,0.5641025641025641,0.5,0.5641025641025641,0.5,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,1388,13,39,0.53846153846153844,0.46153846153846156,0.53846153846153844,0.46153846153846156,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,1441,13,39,0.48717948717948717,0.42307692307692307,0.48717948717948717,0.42307692307692313,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,1494,13,39,0.5641025641025641,0.53846153846153844,0.5641025641025641,0.53846153846153855,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,1547,13,39,0.5641025641025641,0.53846153846153844,0.5641025641025641,0.53846153846153855,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,1335,13,39,0.61538461538461542,0.59615384615384615,0.61538461538461542,0.59615384615384615,True
