protocol,subject,direction,final_used_fusion,final_selected_input_method,seed_fusion_decisions,seed_neural_decisions,seed_fusion_fraction,unanimous_across_five_seeds,seed_agreement_with_final_fraction,validation_gain_seed_mean,validation_gain_seed_standard_deviation,validation_gain_seed_minimum,validation_gain_seed_maximum,validation_gain_seed_range,effective_margin
loso,5,arithmetic,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.057142857142857183,0.058412240120700412,-0.0178571428571427,0.1428571428571429,0.16071428571428562,0.046512692381595597
loso,5,stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,-0.020833333333333336,0.053114786599924843,-0.0625,0.0625,0.125,0.048030482907734498
loso,6,arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.021428571428571439,0.062372318559189205,-0.017857142857142901,0.125,0.1428571428571429,0.094396299805005093
loso,6,stroop,False,always_nn,0,5,0,True,1,-0.041666666666666644,0.029462782549439435,-0.083333333333333204,0,0.083333333333333204,0.085396471030497106
loso,7,arithmetic,False,always_nn,0,5,0,True,1,0.014285714285714301,0.034348900110127402,-0.035714285714285698,0.053571428571428603,0.089285714285714302,0.078558803044239497
loso,7,stroop,False,always_nn,0,5,0,True,1,-0.05416666666666662,0.037845629426218615,-0.1041666666666666,-0.020833333333333301,0.083333333333333301,0.090118124752326695
loso,8,arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.025000000000000001,0.029880715233359823,0,0.071428571428571397,0.071428571428571397,0.057045830704369999
loso,8,stroop,False,always_nn,3,2,0.59999999999999998,False,0.40000000000000002,0.049999999999999968,0.037845629426218622,0,0.083333333333333301,0.083333333333333301,0.053420462295320201
loso,9,arithmetic,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0.035714285714285678,0.056469243931578213,-0.035714285714285803,0.1071428571428571,0.1428571428571429,0.056952261706691203
loso,9,stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.058333333333333279,0.042695628191498386,0.0208333333333332,0.125,0.1041666666666668,0.066829173688885093
loso,10,arithmetic,False,always_nn,0,5,0,True,1,0.042857142857142885,0.041110230118647575,-0.0178571428571427,0.089285714285714302,0.107142857142857,0.1203205749524404
loso,10,stroop,False,always_nn,0,5,0,True,1,-0.066666666666666624,0.051874581658286352,-0.1458333333333332,-0.020833333333333301,0.1249999999999999,0.12710754004763819
loso,11,arithmetic,False,always_nn,0,5,0,True,1,0.028571428571428581,0.027081698014469836,0,0.053571428571428603,0.053571428571428603,0.073910120259633894
loso,11,stroop,False,always_nn,0,5,0,True,1,-0.020833333333333339,0.053114786599924843,-0.0625,0.0625,0.125,0.073115428813207303
loso,12,arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.014285714285714301,0.055615755365705129,-0.035714285714285698,0.10714285714285721,0.1428571428571429,0.0453183207952641
loso,12,stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,-0.0083333333333333783,0.050173310744967864,-0.0625,0.041666666666666602,0.1041666666666666,0.039486011599875401
loso,13,arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.017857142857142839,0.052062070489690138,-0.053571428571428603,0.089285714285714093,0.14285714285714268,0.0471703189469799
loso,13,stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,1.9428902930940238e-17,0.04166666666666665,-0.041666666666666699,0.0625,0.1041666666666667,0.059542946592766897
loso,14,arithmetic,False,always_nn,0,5,0,True,1,0.042857142857142823,0.0097807599554493654,0.035714285714285698,0.053571428571428603,0.017857142857142905,0.10614206264492131
loso,15,arithmetic,False,always_nn,0,5,0,True,1,0.060714285714285741,0.054456966721346096,0,0.125,0.125,0.14999999999999999
