protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion_seed,selected_input_method_seed,gate_source_recordings,inner_folds,selected_epoch,task,used_fusion_final,selected_input_method_final,seed_decision_agrees_with_final,diagnostic_only_not_statistical_replicate
cross_task,2,arithmetic_to_stroop,1494,0.33333333333333331,1,0.66666666666666674,0.063382954482846296,0.032676590896569199,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,2,arithmetic_to_stroop,1547,0.33333333333333331,1,0.66666666666666674,0.063382954482846296,0.032676590896569199,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,3,stroop_to_arithmetic,1335,0.66666666666666663,1,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,50,,True,always_fuse,True,True
cross_task,3,stroop_to_arithmetic,1388,1,1,0,0.038932605412282099,0.027786521082456401,False,always_nn,3,2,23,,True,always_fuse,False,True
cross_task,3,stroop_to_arithmetic,1441,1,1,0,0.038932605412282099,0.027786521082456401,False,always_nn,3,2,7,,True,always_fuse,False,True
cross_task,3,stroop_to_arithmetic,1494,0.66666666666666663,1,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,12,,True,always_fuse,True,True
cross_task,3,stroop_to_arithmetic,1547,0.66666666666666663,1,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,3,arithmetic_to_stroop,1335,0.66666666666666663,0.66666666666666663,0,0.038932605412282099,0.027786521082456401,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,3,arithmetic_to_stroop,1388,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,3,arithmetic_to_stroop,1441,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,3,arithmetic_to_stroop,1494,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.038932605412282099,0.027786521082456401,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,3,arithmetic_to_stroop,1547,0.66666666666666663,0.66666666666666663,0,0.038932605412282099,0.027786521082456401,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,4,stroop_to_arithmetic,1335,0.66666666666666663,0.66666666666666663,0,0.1005351053785813,0.040107021075716197,False,always_nn,3,2,16,,False,always_nn,True,True
cross_task,4,stroop_to_arithmetic,1388,0.66666666666666663,0.66666666666666663,0,0.1005351053785813,0.040107021075716197,False,always_nn,3,2,32,,False,always_nn,True,True
cross_task,4,stroop_to_arithmetic,1441,0.66666666666666663,0.66666666666666663,0,0.1005351053785813,0.040107021075716197,False,always_nn,3,2,50,,False,always_nn,True,True
cross_task,4,stroop_to_arithmetic,1494,0.66666666666666663,0.66666666666666663,0,0.1005351053785813,0.040107021075716197,False,always_nn,3,2,38,,False,always_nn,True,True
cross_task,4,stroop_to_arithmetic,1547,0.66666666666666663,0.66666666666666663,0,0.1005351053785813,0.040107021075716197,False,always_nn,3,2,12,,False,always_nn,True,True
cross_task,4,arithmetic_to_stroop,1335,0.66666666666666663,1,0.33333333333333331,0.1005351053785813,0.040107021075716197,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,4,arithmetic_to_stroop,1388,0.66666666666666663,1,0.33333333333333331,0.1005351053785813,0.040107021075716197,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,4,arithmetic_to_stroop,1441,0.66666666666666663,1,0.33333333333333331,0.1005351053785813,0.040107021075716197,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,4,arithmetic_to_stroop,1494,0.66666666666666663,1,0.33333333333333331,0.1005351053785813,0.040107021075716197,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,4,arithmetic_to_stroop,1547,0.66666666666666663,1,0.33333333333333331,0.1005351053785813,0.040107021075716197,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,5,stroop_to_arithmetic,1335,0.66666666666666663,1,0.33333333333333331,0.073239196609292803,0.034647839321858498,True,always_fuse,3,2,50,,False,always_nn,False,True
cross_task,5,stroop_to_arithmetic,1388,0.66666666666666663,0.66666666666666663,0,0.073239196609292803,0.034647839321858498,False,always_nn,3,2,14,,False,always_nn,True,True
cross_task,5,stroop_to_arithmetic,1441,0.66666666666666663,0.66666666666666663,0,0.073239196609292803,0.034647839321858498,False,always_nn,3,2,10,,False,always_nn,True,True
cross_task,5,stroop_to_arithmetic,1494,0.66666666666666663,0.66666666666666663,0,0.073239196609292803,0.034647839321858498,False,always_nn,3,2,11,,False,always_nn,True,True
