protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects,weight_at_zero,weight_at_frozen_cap_0_8,target_batch_recordings,gate_level,seed_level_gate_weight_available
loso,9,arithmetic,0.40000000000000002,0,-0.0261505139187743,0,False,1.2632535811898438,0.25587847394135599,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,10,arithmetic,0.31667595726061681,0.011325450576745799,0.011325450576745799,0.39563232770667928,False,0.4310368451859139,0.28150010342892301,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,11,arithmetic,0.61963595461619558,0.036521192214662601,0.036521192214662601,0.2367619031665982,False,0.51937107077834477,0.39528894122911129,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,12,arithmetic,0.78805665849770357,0.1158834703141603,0.1158834703141603,0.64191098136537594,False,1.7366797677970367,0.349525384021593,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,13,arithmetic,0.55240313341941405,0.016049524166599501,0.016049524166599501,0,False,0.2164654060893077,0.35549287635628052,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,14,arithmetic,0.79991500686003736,0.18299380425337539,0.18299380425337539,0,False,2.7822018573849809,0.7470668436062069,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,15,arithmetic,0.74770601003235337,0.053202568322176701,0.053202568322176701,0,False,0.40701026750267461,0.38881155539100049,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,1,stroop,0.058762029354738801,-0.0249175535348264,-0.0249175535348264,0.51557926317119906,False,0.80210013990611528,0.40754345707146639,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,2,stroop,5.3782787860496455e-05,-0.15558470229078061,-0.15558470229078061,0.73124446945202048,False,1.0840294960901451,0.2806717736357307,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,3,stroop,0.0151557643451009,-0.0555649429160344,-0.0555649429160344,0.4675428727839217,False,1.4059883414645544,0.2244846682198014,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
