fold,held_out_subject,maximum_nearest_train_raw_overlap_fraction,mean_nearest_train_raw_overlap_fraction,overlapping_participants,overlapping_recordings,participant_overlap_rate,recording_accuracy,recording_auroc,recording_average_precision,recording_balanced_accuracy,recording_brier_score,recording_f1,recording_fn,recording_fp,recording_log_loss,recording_n,recording_n_class_0,recording_n_class_1,recording_overlap_rate,recording_pr_auc,recording_precision,recording_sensitivity,recording_specificity,recording_tn,recording_tp,split_seed,strategy,strategy_display,task,train_participants,train_recordings,train_windows,validation_participants,validation_recordings,validation_windows,validation_windows_with_raw_overlap_fraction,window_accuracy,window_auroc,window_average_precision,window_balanced_accuracy,window_brier_score,window_f1,window_fn,window_fp,window_log_loss,window_n,window_n_class_0,window_n_class_1,window_pr_auc,window_precision,window_sensitivity,window_specificity,window_tn,window_tp
1,4,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,2.0856817303729088e-08,1,0,0,9.8062392019061077e-05,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,2.5899539077520233e-05,1,0,0,0.0011640948342717936,80,28,52,1,1,1,1,28,52
2,4,0.94117647058823528,0.93970588235294128,1,4,1,1,1,1,1,6.9014241814369238e-08,1,0,0,0.00016144415132966341,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,7.6077969247810901e-05,1,0,0,0.0021037452449449092,80,28,52,1,1,1,1,28,52
1,4,0.94117647058823528,0.94044117647058845,1,4,1,1,1,1,1,6.0089794543678167e-08,1,0,0,0.00015570989290665402,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,2.2951426821384881e-05,1,0,0,0.0016925316320808835,80,28,52,1,1,1,1,28,52
2,4,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,6.0422519355894273e-08,1,0,0,0.00016764678581309691,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,2.8137424477436292e-05,1,0,0,0.0013865488548948819,80,28,52,1,1,1,1,28,52
1,5,0.94117647058823528,0.93999999999999995,1,4,1,1,1,1,1,0.0010104563322392522,1,0,0,0.017470924774398308,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.98999999999999999,1,1.0000000000000002,0.98958333333333326,0.0097121639830124954,0.99047619047619051,0,1,0.04557315364062154,100,48,52,1.0000000000000002,0.98113207547169812,1,0.97916666666666663,47,52
2,5,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.00020245125108232749,1,0,0,0.0076967173508303939,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.98999999999999999,0.9983974358974359,0.99862637362637385,0.99038461538461542,0.012960664836843005,0.99029126213592233,1,0,0.049710170914660769,100,48,52,0.99861388611388624,1,0.98076923076923073,1,48,51
1,5,0.94117647058823528,0.93764705882352939,1,4,1,1,1,1,1,0.00097213567461324488,1,0,0,0.016684384770143286,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.97999999999999998,0.99919871794871795,0.99926733281232571,0.97916666666666674,0.017122560209171567,0.98113207547169812,0,2,0.064185041248826735,100,48,52,0.99926021821031652,0.96296296296296291,1,0.95833333333333337,46,52
2,5,0.94117647058823528,0.93882352941176461,1,4,1,1,1,1,1,0.00053160293837427536,1,0,0,0.012754598302574574,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,1,1,1.0000000000000002,1,0.0050141484140174162,1,0,0,0.034561302812954817,100,48,52,1.0000000000000002,1,1,1,48,52
1,5,0.94117647058823528,0.93941176470588228,1,4,1,1,1,1,1,0.00036566916989852737,1,0,0,0.010402175521525754,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.98999999999999999,0.99879807692307687,0.99889025890584004,0.98958333333333326,0.010564689053647294,0.99047619047619051,0,1,0.045076110446281244,100,48,52,0.99887937356476597,0.98113207547169812,1,0.97916666666666663,47,52
2,5,0.94117647058823528,0.94058823529411772,1,4,1,1,1,1,1,0.00014508749837771026,1,0,0,0.0071026527301384593,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,1,1,1.0000000000000002,1,0.0065562952469565804,1,0,0,0.039804146111284758,100,48,52,1.0000000000000002,1,1,1,48,52
1,5,0.94117647058823528,0.93882352941176461,1,4,1,1,1,1,1,0.00015001897176500657,1,0,0,0.0074502455934351329,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.98999999999999999,1,1.0000000000000002,0.99038461538461542,0.013008271930834725,0.99029126213592233,1,0,0.05346409647160362,100,48,52,1.0000000000000002,1,0.98076923076923073,1,48,51
2,5,0.94117647058823528,0.94058823529411772,1,4,1,1,1,1,1,0.0002098598763818411,1,0,0,0.0078151665428403631,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,1,1,1.0000000000000002,1,0.0036265942785909957,1,0,0,0.024617150618482957,100,48,52,1.0000000000000002,1,1,1,48,52
1,5,0.94117647058823528,0.94058823529411772,1,4,1,1,1,1,1,0.00068534227160573825,1,0,0,0.01363938535760177,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.97999999999999998,0.99919871794871795,0.99928774928774944,0.97996794871794868,0.013480697931124767,0.98076923076923073,1,1,0.048096506976982208,100,48,52,0.99928102994140744,0.98076923076923073,0.98076923076923073,0.97916666666666663,47,51
2,5,0.94117647058823528,0.93941176470588228,1,4,1,1,1,1,1,0.00020363847487122436,1,0,0,0.0085372754145054061,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,727,1,4,100,1,0.98999999999999999,1,1.0000000000000002,0.98958333333333326,0.0094561739777148119,0.99047619047619051,0,1,0.046672587046784154,100,48,52,1.0000000000000002,0.98113207547169812,1,0.97916666666666663,47,52
1,6,0.94117647058823528,0.94034797017398486,1,4,1,1,1,1,1,9.7137200222577316e-05,1,0,0,0.0074373878156298737,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,0.971830985915493,0.99439102564102566,0.99592373438527304,0.97155448717948723,0.024299667499646949,0.97435897435897434,1,1,0.088308106573613765,71,32,39,0.99587623352805543,0.97435897435897434,0.97435897435897434,0.96875,31,38
2,6,0.94117647058823528,0.93703396851698406,1,4,1,1,1,1,1,3.0534107715286244e-05,1,0,0,0.0048101896907519681,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,0.971830985915493,0.9983974358974359,0.99870151216305081,0.97155448717948723,0.018082450905713254,0.97435897435897434,1,1,0.067987684085322825,71,32,39,0.99868464306723437,0.97435897435897434,0.97435897435897434,0.96875,31,38
1,6,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.0017982458480521736,1,0,0,0.024610710818409178,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,0.95774647887323938,0.99118589743589747,0.99296399723229012,0.953125,0.038729497034114907,0.96296296296296291,0,3,0.12664731965302103,71,32,39,0.99287375483435536,0.9285714285714286,1,0.90625,29,39
2,6,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.00088506638826227812,1,0,0,0.019209182368833427,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,0.9859154929577465,0.99919871794871795,0.99935897435897447,0.984375,0.016525434708094189,0.98734177215189878,0,1,0.069334914114391702,71,32,39,0.99935075608152546,0.97499999999999998,1,0.96875,31,39
1,6,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.0001659439772895796,1,0,0,0.0086039400355168941,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,0.9859154929577465,0.99759615384615385,0.99802674833039218,0.984375,0.020976463374601531,0.98734177215189878,0,1,0.083752620156150023,71,32,39,0.9980007608044047,0.97499999999999998,1,0.96875,31,39
2,6,0.94117647058823528,0.93951946975973466,1,4,1,1,1,1,1,0.00024188119746744211,1,0,0,0.011523989774526721,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,1,1,1,1,0.010930830957114911,1,0,0,0.05606995566806254,71,32,39,1,1,1,1,32,39
1,6,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.000375524433117433,1,0,0,0.013093858240028355,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,1,1,1,1,0.0041320432765977978,1,0,0,0.036442539170029535,71,32,39,1,1,1,1,32,39
2,6,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.00083154998549242768,1,0,0,0.017800590725811527,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,519,1,4,71,1,1,1,1,1,0.0084351616282491177,1,0,0,0.05260173763264641,71,32,39,1,1,1,1,32,39
