bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
3,0.40000000000000002,0.60000000000000009,False,17,0.50021751257982539,0.6470588235294118,0.14684131094958641,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
4,0.60000000000000009,0.80000000000000004,False,2,0.64059803986589792,0.5,0.14059803986589792,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
5,0.80000000000000004,1,True,8,0.93040430319476464,0.75,0.18040430319476464,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
1,0,0.20000000000000001,False,6,0.014712299342633286,0.66666666666666663,0.65195436732403333,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
2,0.20000000000000001,0.40000000000000002,False,5,0.27912602417830923,0.59999999999999998,0.32087397582169075,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
3,0.40000000000000002,0.60000000000000009,False,15,0.51984391321714785,0.73333333333333328,0.21348942011618544,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
4,0.60000000000000009,0.80000000000000004,False,2,0.73526220305247336,0,0.73526220305247336,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
5,0.80000000000000004,1,True,11,0.96355637698943941,0.72727272727272729,0.23628364971671212,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
1,0,0.20000000000000001,False,5,0.018151296464179942,0.80000000000000004,0.78184870353582014,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
2,0.20000000000000001,0.40000000000000002,False,3,0.33360894965279941,0.33333333333333331,0.00027561631946609877,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
3,0.40000000000000002,0.60000000000000009,False,5,0.53483088305236837,0.40000000000000002,0.13483088305236834,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
4,0.60000000000000009,0.80000000000000004,False,6,0.69412831212685233,0.83333333333333337,0.13920502120648104,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
