dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,13,39,13,26,7,6,9,17,0.61538461538461542,0.59615384615384615,0.65384615384615385,0.53846153846153844,0.73913043478260865,0.69387755102040816,0.5502958579881656,0.70489383009450524,0.71843279559754958,0.72645443751345917,0.25798718302619195,0.13998986133398847,0.34387112187409213,0.6688331264709817,0.076439906451856443,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%),13,39,13,26,6,7,10,16,0.5641025641025641,0.53846153846153855,0.61538461538461542,0.46153846153846156,0.69565217391304346,0.65306122448979587,0.52071005917159763,0.68644345343063295,0.70037036709767542,1.018884220140142,0.30170846345390412,0.23262607077577527,0.50938041570604897,0.69048336351163331,0.0040302557464601593,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%),13,39,13,26,7,6,10,16,0.58974358974358976,0.57692307692307687,0.61538461538461542,0.53846153846153844,0.72727272727272729,0.66666666666666663,0.5473372781065089,0.69763958392101033,0.71140525403053423,0.93521084132632526,0.29379106291499024,0.25577946389331657,0.64324547130117293,0.69090353011690187,0.0041962596046735291,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,13,39,13,26,7,6,13,13,0.51282051282051277,0.51923076923076916,0.5,0.53846153846153844,0.68421052631578949,0.57777777777777772,0.51479289940828399,0.67854240764030094,0.69281520841524513,0.82170618219767022,0.29417834860142894,0.23389689391714058,0.54481500674668792,0.68483147439900838,0.045887572423033103,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,13,39,13,26,5,8,6,20,0.64102564102564108,0.57692307692307698,0.76923076923076927,0.38461538461538464,0.7142857142857143,0.7407407407407407,0.59467455621301779,0.75052207812786764,0.75887685456342346,1.4476450989235075,0.29020391098699827,0.22072182475770874,0.55569361393455829,0.7025564116422166,0.047585395317097517,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,13,39,13,26,7,6,15,11,0.46153846153846156,0.48076923076923073,0.42307692307692307,0.53846153846153844,0.6470588235294118,0.51162790697674421,0.55917159763313606,0.66727308933296769,0.69087217741643203,1.5441454391996436,0.36275715807509545,0.36689845789387432,0.70443296420896662,0.7472806399121964,0.053682461170526108,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking,13,39,13,26,7,6,15,11,0.46153846153846156,0.48076923076923073,0.42307692307692307,0.53846153846153844,0.6470588235294118,0.51162790697674421,0.46449704142011838,0.65393236264975618,0.66842204826957285,2.0163231338588217,0.40699353203215044,0.40629447804328511,0.6237907097535027,0.6778314778684732,-0.017793409045352062,estimated
openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused,15,60,30,30,19,11,11,19,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.66444444444444439,0.57061568207773739,0.59274458379077599,0.64228986162036206,0.22632389305467976,0.11806925102867594,0.1523706162586333,0.089577889019198123,1.2745097890555528,estimated
openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Always neural,15,60,30,30,20,10,15,15,0.58333333333333337,0.58333333333333326,0.5,0.66666666666666663,0.59999999999999998,0.54545454545454541,0.66999999999999993,0.58502725714256043,0.60705367766761986,1.0703258467338184,0.31297956071698302,0.27523415201277607,0.52307844465017261,0.34774355331485546,0.2089415648685003,estimated
openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF,15,60,30,30,20,10,14,16,0.59999999999999998,0.59999999999999998,0.53333333333333333,0.66666666666666663,0.61538461538461542,0.5714285714285714,0.63444444444444448,0.57185307052049539,0.59392046680979882,0.70711260534265896,0.24819942147389443,0.11813717349089323,0.18427369207164657,0.14857545985477272,0.44730847896587861,estimated
