dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,log_loss,13,13,1.268879009183338,0.91298190352102715,1.0642637774116117,0.60601500762320215,1.5989980818815666,0.35400836269871278,3.8005786492381408
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,brier_score,13,13,0.31047286287844478,0.13865122035956776,0.30536831981022189,0.21373920142121836,0.35234318770313627,0.10582199840220247,0.57176461514785049
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,accuracy,13,13,0.58974358974358976,0.14617633655117152,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,balanced_accuracy,13,13,0.48076923076923078,0.12338702919820613,0.5,0.5,0.5,0.25,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,sensitivity,13,13,0.80769230769230771,0.32522181779399545,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,specificity,13,13,0.15384615384615385,0.37553380809940534,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,precision,13,12,0.66666666666666663,0.12309149097933272,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,f1,13,13,0.68205128205128207,0.23397348085539471,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,auroc,13,13,0.5,0.40824829046386302,0.5,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,pr_auc,13,13,0.7403846153846152,0.2418544805117113,0.79166666666666663,0.41666666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,average_precision,13,13,0.80769230769230782,0.17140694816821717,0.83333333333333326,0.58333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,log_loss,13,13,0.81535206616045408,0.49839548909935322,0.68026068883778468,0.65740364032974008,0.70099689890810557,0.59246409434050917,2.4646279594905613
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,brier_score,13,13,0.25013429382460262,0.035627845342046487,0.24368692915540482,0.23221046935149467,0.25388137363488023,0.20449056317314182,0.33292328262191145
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,accuracy,13,13,0.51282051282051266,0.1729581738875903,0.66666666666666663,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,balanced_accuracy,13,13,0.46153846153846156,0.13867504905630729,0.5,0.5,0.5,0.25,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,sensitivity,13,13,0.61538461538461542,0.41602514716892186,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,specificity,13,13,0.30769230769230771,0.48038446141526137,0,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,precision,13,10,0.65000000000000002,0.14593250596181886,0.66666666666666663,0.54166666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,f1,13,13,0.53589743589743588,0.32927010708353627,0.66666666666666663,0.5,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,auroc,13,13,0.46153846153846156,0.47703679372151431,0.5,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,pr_auc,13,13,0.69871794871794868,0.28113621471640976,0.79166666666666663,0.41666666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,average_precision,13,13,0.78205128205128216,0.19993766834959151,0.83333333333333326,0.58333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,log_loss,13,13,1.1507201021424012,0.58529627313104537,0.9473132301073669,0.67743639877208339,1.5989980818815661,0.4964777161191361,2.3849662324160525
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,brier_score,13,13,0.32841181354918558,0.12016408620675971,0.29908602615751728,0.24214709566901313,0.37117644290459789,0.15776506605258253,0.57176461514784993
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,accuracy,13,13,0.53846153846153855,0.25598254926276814,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,balanced_accuracy,13,13,0.44230769230769229,0.20801257358446093,0.5,0.5,0.5,0,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,sensitivity,13,13,0.73076923076923073,0.4385290096535146,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,specificity,13,13,0.15384615384615385,0.37553380809940534,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,precision,13,12,0.58333333333333337,0.28867513459481292,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,f1,13,13,0.60512820512820509,0.34690327231359513,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,auroc,13,13,0.69230769230769229,0.38397382389415224,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,pr_auc,13,13,0.84615384615384603,0.21339992950919626,1,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,average_precision,13,13,0.8846153846153848,0.15417965988212431,1,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,log_loss,13,13,0.94582969965495833,0.47692856294217423,0.82812474142235037,0.66723998341002566,1.2024246198330311,0.41975255573065323,2.0072730351735113
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,brier_score,13,13,0.27833566095326484,0.090953029438793756,0.29988614832628857,0.23468424174616084,0.32631553778741246,0.14311063603362417,0.45472333416067218
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,accuracy,13,13,0.61538461538461542,0.1849000654084097,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,balanced_accuracy,13,13,0.48076923076923078,0.16012815380508716,0.5,0.5,0.5,0,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,sensitivity,13,13,0.88461538461538458,0.299572344757639,1,1,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,specificity,13,13,0.076923076923076927,0.27735009811261457,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,precision,13,13,0.64102564102564108,0.21350420507344955,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,f1,13,13,0.72820512820512817,0.22188007849009167,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,auroc,13,13,0.57692307692307687,0.40032038451271784,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,pr_auc,13,13,0.78525641025641002,0.23064306855230896,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,average_precision,13,13,0.83974358974358987,0.16478640236548164,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,log_loss,13,13,1.3094898418317595,0.93828689015433175,0.68968327727091816,0.66985967995274454,2.317606935455117,0.54639619663094907,2.8221136502483222
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,brier_score,13,13,0.28287688716938797,0.072785077061041092,0.24826814226236937,0.23838083006516322,0.33310244603641587,0.18719927531553437,0.41292002753411211
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),accuracy,13,13,0.64102564102564108,0.16451603893094152,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),balanced_accuracy,13,13,0.53846153846153844,0.17218430793029862,0.5,0.5,0.5,0.25,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),sensitivity,13,13,0.84615384615384615,0.31521258597805757,1,1,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),specificity,13,13,0.23076923076923078,0.4385290096535146,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),precision,13,12,0.70833333333333337,0.14433756729740643,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),f1,13,13,0.72051282051282051,0.24249416241101313,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),auroc,13,13,0.53846153846153844,0.37977726265637501,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),pr_auc,13,13,0.76923076923076905,0.22153673654955208,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),average_precision,13,13,0.82692307692307709,0.15760629298902884,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),log_loss,13,13,0.81867036651486091,0.54685075572093733,0.6500245266039627,0.61404057921603006,0.71053651183242106,0.5374151655307261,2.6122971765679708
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),brier_score,13,13,0.24635143484166203,0.051152565345012523,0.22885156370145412,0.21111100432982732,0.26301067215418389,0.17977128941254883,0.35546217179145506
