Analysis setting,Method,n_participants,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
Arithmetic LOSO,Fixed blend (25%),15,60,30,30,0.5833333333333333,0.5833333333333331,0.5,0.6666666666666666,0.5999999999999999,0.5454545454545454,0.6599999999999999,0.5852149986565117,0.607157261869743,0.7449496704117508,0.2657367544213452,0.1869732764615916,0.2590021621841859,0.1826989923249256,0.3930997238568099,estimated
Arithmetic LOSO,Random forest,15,60,30,30,0.5166666666666667,0.5166666666666666,0.4,0.6333333333333333,0.5217391304347825,0.4528301886792452,0.6288888888888888,0.5674752637531661,0.589037974017039,0.6731144746164686,0.2414312755483169,0.096229781445539,0.3418606561166273,0.14929539834231,0.6139339329314994,estimated
Arithmetic LOSO,Riemannian MDM,15,60,30,30,0.5333333333333333,0.5333333333333333,0.5,0.5666666666666667,0.5357142857142857,0.5172413793103448,0.5655555555555555,0.5581474637984329,0.5792463658785159,0.8637780274595449,0.2939341590534944,0.1999344009680843,0.3061866216223382,0.0042802376071476,0.1575521542289541,estimated
Arithmetic LOSO,Riemannian TS-LR,15,60,30,30,0.5,0.5,0.5666666666666667,0.4333333333333333,0.5,0.53125,0.5377777777777778,0.5299330236999247,0.5519148212140137,0.996691799316844,0.328773238939666,0.2580420226956955,0.4003215725612285,-0.0274798616977151,0.0773756419958816,estimated
Arithmetic LOSO,OOF recording-level stacking,15,60,30,30,0.5999999999999999,0.5999999999999999,0.5333333333333333,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.6433333333333333,0.5729590955833149,0.595013159807626,0.8141455268835865,0.267730081531733,0.1845970058649611,0.3583680840142016,0.219184194700189,0.2877561897969018,estimated
Stroop LOSO,Always fused,13,52,26,26,0.5769230769230768,0.5769230769230768,0.5384615384615384,0.6153846153846154,0.5833333333333333,0.56,0.6701183431952663,0.6585766057098672,0.6695599945493733,0.6445252822860496,0.2276133496568332,0.0369604014779424,0.1885497441705477,0.1469957219868326,1.1532329306255238,estimated
Stroop LOSO,Always neural,13,52,26,26,0.6153846153846154,0.6153846153846154,0.4615384615384615,0.7692307692307692,0.6666666666666666,0.5454545454545454,0.6597633136094674,0.6268324689688629,0.6415032953740882,1.5444718186872066,0.3341944864108694,0.2889985337160068,0.4073303926574991,0.3820391094125594,0.1383840163938473,estimated
Stroop LOSO,CB-SF,13,52,26,26,0.5961538461538461,0.5961538461538461,0.4615384615384615,0.7307692307692307,0.631578947368421,0.5333333333333333,0.6375739644970414,0.6480593421588962,0.6586142038166912,1.220771588890218,0.3049934383061312,0.2136304330038484,0.3254197319004453,0.2381149926241146,0.1372310324534933,estimated
Stroop LOSO,DASF,13,52,26,26,0.6153846153846154,0.6153846153846154,0.4615384615384615,0.7692307692307692,0.6666666666666666,0.5454545454545454,0.6597633136094674,0.6268324689688629,0.6415032953740882,1.5444718186872133,0.3341944864108695,0.288998533716007,0.4073303926574994,0.382039109412559,0.1383840163938465,estimated
Stroop LOSO,EEG-Conformer,13,52,26,26,0.6346153846153845,0.6346153846153845,0.6153846153846154,0.6538461538461539,0.64,0.6274509803921569,0.6715976331360946,0.6350036081603974,0.6494199502587372,0.9673420420135576,0.2951550190478726,0.2483901451825301,0.3244831971959685,0.0402857967296776,0.2295330666902496,estimated
Stroop LOSO,EEGNet,13,52,26,26,0.6730769230769231,0.6730769230769231,0.7307692307692307,0.6153846153846154,0.6551724137931034,0.6909090909090909,0.6627218934911243,0.6339295543435871,0.645460173548284,0.7451127054109938,0.2512883291122803,0.1735564632506972,0.361524252925908,-0.038384970054737,0.3585378379768383,estimated
Stroop LOSO,Equal blend (50%),13,52,26,26,0.6153846153846154,0.6153846153846154,0.5,0.7307692307692307,0.65,0.5652173913043477,0.6642011834319526,0.641915771166977,0.6558813325081586,0.6990993766054646,0.2514060237822891,0.1445979267274998,0.250850388164496,0.21945934747126,0.5276257799489058,estimated
Stroop LOSO,Extra Trees,13,52,26,26,0.5384615384615384,0.5384615384615384,0.2692307692307692,0.8076923076923077,0.5833333333333333,0.3684210526315789,0.6863905325443787,0.626780161155813,0.6497981115407883,0.6511184453691482,0.2329261397684091,0.1455068561669388,0.211370395795202,0.554711545886496,1.1696648819089894,estimated
Stroop LOSO,Fixed blend (10%),13,52,26,26,0.5961538461538461,0.5961538461538461,0.4615384615384615,0.7307692307692307,0.631578947368421,0.5333333333333333,0.6671597633136094,0.6339647620290495,0.6484121729752618,0.9076328686340334,0.3011391178373105,0.2408788622100241,0.3924796254893011,0.2600139330873406,0.2704610902306933,estimated
Stroop LOSO,Fixed blend (25%),13,52,26,26,0.5961538461538461,0.5961538461538461,0.4615384615384615,0.7307692307692307,0.631578947368421,0.5333333333333333,0.6701183431952663,0.6454781165332946,0.6594029983891642,0.783914098941379,0.2770124669453374,0.1992745382971294,0.2974968608705697,0.2385352123660685,0.3619387448934921,estimated
Stroop LOSO,Random forest,13,52,26,26,0.5769230769230768,0.5769230769230769,0.3846153846153846,0.7692307692307692,0.625,0.4761904761904761,0.6420118343195265,0.6039849751790404,0.6191090983945255,0.6938668530922791,0.2513758070614581,0.1433671455145325,0.3303864051445881,0.3778122157303753,0.6729064810967821,estimated
Stroop LOSO,Riemannian MDM,13,52,26,26,0.5384615384615384,0.5384615384615384,0.423076923076923,0.6538461538461539,0.55,0.4782608695652174,0.5754437869822485,0.6115612006347431,0.6204507968551156,1.441609861283978,0.3778245088602918,0.3597356833211428,0.4571195555347351,0.0765644820065607,0.0816676389588216,estimated
Stroop LOSO,Riemannian TS-LR,13,52,26,26,0.5769230769230768,0.5769230769230768,0.5769230769230768,0.5769230769230768,0.5769230769230768,0.5769230769230768,0.6005917159763314,0.5770529484861358,0.5978998624318295,1.2005029382457248,0.2934047093010604,0.1992442813179569,0.4176823240680055,0.0050555818865559,0.0536652705821618,estimated
Stroop LOSO,OOF recording-level stacking,13,52,26,26,0.5961538461538461,0.5961538461538461,0.5769230769230768,0.6153846153846154,0.5999999999999999,0.588235294117647,0.6612426035502958,0.6396951996964362,0.6537746296486909,0.7761865389699556,0.2703932508536112,0.2032817866911896,0.327758358480553,0.1660643661367132,0.3433984067790038,estimated
