dataset,protocol,direction,subject,method,accuracy,n_recordings,method_display
openbci,loso,stroop,6,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,7,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,8,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,9,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,10,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,11,riemann_ts_logreg,0.25,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,12,riemann_ts_logreg,0.75,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,13,riemann_ts_logreg,0.25,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,14,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,15,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,1,stack_recording,0.5,4,Recording-level OOF stacker
openbci,loso,stroop,2,stack_recording,0.5,4,Recording-level OOF stacker
openbci,loso,stroop,3,stack_recording,0.5,4,Recording-level OOF stacker
openbci,loso,stroop,4,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,5,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,6,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,7,stack_recording,1.0,4,Recording-level OOF stacker
openbci,loso,stroop,8,stack_recording,1.0,4,Recording-level OOF stacker
openbci,loso,stroop,9,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,10,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,11,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,12,stack_recording,0.5,4,Recording-level OOF stacker
openbci,loso,stroop,13,stack_recording,0.25,4,Recording-level OOF stacker
openbci,loso,stroop,14,stack_recording,0.75,4,Recording-level OOF stacker
openbci,loso,stroop,15,stack_recording,0.75,4,Recording-level OOF stacker
